player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
Lilian Egloff,de GER,MF,Stuttgart,21-044,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nico Elvedi,ch SUI,DF,M'Gladbach,27-003,1996,2.3,7,3.06,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Arne Engels,be BEL,"DF,MF",Augsburg,20-025,2003,4.0,14,3.54,10,3,0,0,1,0,3,0.76,2,0,0,0,1,0,Matches
Ohis Felix Uduokhai,de GER,DF,Augsburg,26-024,1997,5.5,2,0.36,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Edimilson Fernandes,ch SUI,DF,Mainz 05,27-171,1996,5.9,17,2.90,9,6,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
Nacho Ferri,es ESP,MF,Eint Frankfurt,18-363,2004,0.1,1,8.18,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Max Finkgräfe,de GER,"MF,FW",Köln,19-190,2004,0.6,3,5.19,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jonas Föhrenbach,de GER,DF,Heidenheim,27-250,1996,5.0,12,2.40,11,0,1,0,0,0,2,0.40,2,0,0,0,0,0,Matches
Emil Forsberg,se SWE,"MF,FW",RB Leipzig,31-345,1991,1.8,4,2.18,4,0,0,0,0,0,1,0.55,1,0,0,0,0,0,Matches
Philipp Förster,de GER,MF,Bochum,28-241,1995,0.7,7,9.40,3,3,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Bartol Franjić,hr CRO,MF,Darmstadt 98,23-262,2000,2.5,4,1.63,4,0,0,0,0,0,1,0.41,1,0,0,0,0,0,Matches
Marco Friedl,at AUT,DF,Werder Bremen,25-201,1998,3.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marvin Friedrich,de GER,DF,M'Gladbach,27-294,1995,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jeremie Frimpong,nl NED,DF,Leverkusen,22-297,2000,5.1,13,2.54,9,0,3,1,0,0,2,0.39,2,0,0,0,0,0,Matches
Chris Führich,de GER,FW,Stuttgart,25-267,1998,5.6,35,6.25,19,5,6,4,1,0,7,1.25,4,1,2,0,0,0,Matches
Niclas Füllkrug,de GER,FW,Werder Bremen,30-236,1993,2.0,7,3.50,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Niclas Füllkrug,de GER,FW,Dortmund,30-236,1993,2.2,3,1.34,3,0,0,0,0,0,1,0.45,1,0,0,0,0,0,Matches
Cristian Gamboa,cr CRC,"DF,MF",Bochum,33-344,1989,1.1,4,3.60,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yannick Gerhardt,de GER,"MF,FW",Wolfsburg,29-204,1994,3.8,4,1.06,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Anwar El Ghazi,nl NED,"DF,FW",Mainz 05,28-153,1995,0.4,1,2.73,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Matthias Ginter,de GER,DF,Freiburg,29-257,1994,6.0,9,1.50,6,1,0,1,1,0,1,0.17,1,0,0,0,0,0,Matches
Klaus Gjasula,al ALB,DF,Darmstadt 98,33-293,1989,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Serge Gnabry,de GER,"FW,MF",Bayern Munich,28-081,1995,1.8,10,5.59,6,0,0,4,0,0,0,0.00,0,0,0,0,0,0,Matches
Leon Goretzka,de GER,MF,Bayern Munich,28-239,1995,4.4,11,2.50,8,1,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
Robin Gosens,de GER,"DF,MF",Union Berlin,29-090,1994,4.8,7,1.45,6,0,1,0,0,0,1,0.21,0,0,1,0,0,0,Matches
Mario Götze,de GER,"MF,FW",Eint Frankfurt,31-122,1992,4.7,17,3.60,11,5,0,0,1,0,1,0.21,1,0,0,0,0,0,Matches
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,32-085,1991,2.5,1,0.40,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
