player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Thiago Alcántara,es ESP,MF,Bayern Munich,28,1991,19.7,1632,1813,90.0,30503,8475,658,707,93.1,701,752,93.2,222,274,81.0,0,0.9,2.2,-0.9,20,189,14,0,230,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,22,1996,20.6,886,1145,77.4,13788,3822,473,527,89.8,289,351,82.3,75,159,47.2,2,6.3,4.6,-4.3,54,68,24,5,106,Matches
Ethan Ampadu,wls WAL,DF,RB Leipzig,18,2000,0.9,75,83,90.4,1220,397,22,24,91.7,40,43,93.0,3,5,60.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches
Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,23,1996,5.6,60,104,57.7,1089,286,34,43,79.1,14,26,53.8,11,19,57.9,0,0.3,0.3,-0.3,7,8,4,2,12,Matches
Sebastian Andersson,se SWE,FW,Union Berlin,28,1991,29.8,463,800,57.9,5556,1147,280,424,66.0,113,209,54.1,10,27,37.0,1,1.9,1.5,-0.9,23,42,9,2,54,Matches
Robert Andrich,de GER,MF,Union Berlin,24,1994,28.6,857,1214,70.6,13887,5187,389,492,79.1,339,452,75.0,71,157,45.2,2,2.1,2.7,-0.1,32,109,30,9,151,Matches
Angeliño,es ESP,"DF,FW",RB Leipzig,22,1997,12.2,574,767,74.8,9428,3269,282,324,87.0,208,262,79.4,56,117,47.9,2,2.0,2.8,0.0,19,42,22,7,56,Matches
Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,25,1994,27.4,593,854,69.4,9279,3011,326,395,82.5,184,268,68.7,52,96,54.2,2,4.2,3.1,-2.2,42,34,28,8,68,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,30,1989,23.5,1385,1628,85.1,22338,7611,712,772,92.2,511,579,88.3,116,170,68.2,3,2.5,2.7,+0.5,23,126,8,0,155,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,25,1994,31.3,1160,1550,74.8,23473,8080,425,484,87.8,470,561,83.8,224,416,53.8,8,5.5,5.9,+2.5,70,119,29,6,151,Matches
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,22,1997,7.0,261,311,83.9,4216,1042,127,144,88.2,97,107,90.7,22,30,73.3,1,0.1,0.2,+0.9,2,15,1,1,26,Matches
Ludwig Augustinsson,se SWE,"DF,MF",Werder Bremen,25,1994,10.3,386,546,70.7,5865,2584,229,264,86.7,115,156,73.7,26,76,34.2,1,1.8,2.0,-0.8,18,20,8,6,29,Matches
Taiwo Awoniyi,ng NGA,"FW,MF",Mainz 05,21,1997,5.4,73,109,67.0,966,283,45,55,81.8,14,28,50.0,5,8,62.5,0,0.8,1.4,-0.8,5,6,5,3,7,Matches
Kaan Ayhan,tr TUR,DF,Düsseldorf,24,1994,30.3,1502,1816,82.7,31572,12222,535,579,92.4,677,764,88.6,265,413,64.2,3,2.3,1.7,+0.7,18,124,14,3,161,Matches
Matthias Bader,de GER,DF,Köln,22,1997,0.1,6,8,75.0,89,35,1,1,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Daniel Baier,de GER,MF,Augsburg,35,1984,21.6,667,897,74.4,11871,4099,299,371,80.6,263,329,79.9,82,134,61.2,0,0.9,0.5,-0.9,10,56,6,0,77,Matches
Leon Bailey,jm JAM,"FW,MF",Leverkusen,21,1997,12.1,316,479,66.0,5229,1509,170,219,77.6,111,156,71.2,28,68,41.2,3,2.2,2.8,+0.8,21,17,22,7,36,Matches
Lewis Baker,eng ENG,MF,Düsseldorf,24,1995,6.1,182,222,82.0,3633,919,70,80,87.5,75,84,89.3,32,43,74.4,0,0.5,0.5,-0.5,8,17,4,0,23,Matches
Ridle Baku,de GER,"DF,MF",Mainz 05,21,1998,26.1,827,1167,70.9,14478,5145,389,474,82.1,321,437,73.5,91,178,51.1,3,3.4,4.1,-0.4,27,81,36,16,109,Matches
Leonardo Balerdi,ar ARG,"DF,MF",Dortmund,20,1999,1.5,115,132,87.1,2093,655,53,60,88.3,45,47,95.7,15,17,88.2,0,0.0,0.0,0.0,0,4,0,0,5,Matches
Philipp Bargfrede,de GER,MF,Werder Bremen,30,1989,6.5,198,272,72.8,3068,1207,99,120,82.5,79,105,75.2,11,27,40.7,0,0.1,0.3,-0.1,2,33,4,0,35,Matches
Aymen Barkok,ma MAR,"FW,MF",Düsseldorf,21,1998,0.9,17,29,58.6,296,125,11,19,57.9,4,6,66.7,2,4,50.0,0,0.0,0.0,0.0,0,2,1,0,3,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,19,2000,10.4,276,364,75.8,4448,1410,138,168,82.1,93,117,79.5,28,48,58.3,2,0.3,0.4,+1.7,6,30,1,0,41,Matches
Fin Bartels,de GER,"MF,FW",Werder Bremen,32,1987,3.8,110,153,71.9,1760,536,52,69,75.4,46,57,80.7,8,13,61.5,0,0.3,0.9,-0.3,4,10,3,1,20,Matches
Oliver Batista-Meier,de GER,MF,Bayern Munich,18,2001,0.1,3,4,75.0,27,0,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Oliver Baumann,de GER,GK,Hoffenheim,29,1990,30.0,1006,1285,78.3,23757,15845,302,302,100.0,457,461,99.1,227,498,45.6,0,0.0,0.0,0.0,1,7,1,0,1,Matches
Julian Baumgartlinger,at AUT,MF,Leverkusen,31,1988,19.9,1013,1124,90.1,15356,3543,559,604,92.5,323,350,92.3,75,90,83.3,2,2.3,1.4,-0.3,17,71,9,0,77,Matches
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,19,1999,16.6,344,496,69.4,4880,1059,197,241,81.7,110,149,73.8,17,39,43.6,2,2.1,1.0,-0.1,18,25,9,1,35,Matches
Noah Joel Sarenren Bazee,ng NGA,FW,Augsburg,22,1996,4.2,36,73,49.3,510,165,23,36,63.9,5,10,50.0,4,4,100.0,0,0.6,0.8,-0.6,5,1,1,1,4,Matches
Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,25,1994,23.4,429,640,67.0,5614,1386,274,357,76.8,105,155,67.7,21,44,47.7,1,3.7,1.8,-2.7,30,30,21,5,48,Matches
Sheraldo Becker,sr SUR,"MF,FW",Union Berlin,24,1995,6.0,77,134,57.5,1174,505,38,52,73.1,31,53,58.5,4,12,33.3,2,0.9,0.8,+1.1,8,4,4,3,5,Matches
Timo Becker,de GER,"DF,MF",Schalke 04,22,1997,3.7,112,147,76.2,2000,785,52,59,88.1,44,55,80.0,13,19,68.4,0,0.2,0.7,-0.2,4,13,2,1,14,Matches
Maximilian Beier,de GER,FW,Hoffenheim,16,2002,1.2,12,19,63.2,147,29,5,8,62.5,5,8,62.5,0,0,,0,0.0,0.0,0.0,1,1,0,0,2,Matches
Ishak Belfodil,dz ALG,"FW,MF",Hoffenheim,27,1992,3.0,45,58,77.6,579,100,32,38,84.2,10,14,71.4,1,2,50.0,0,0.3,0.4,-0.3,5,3,2,0,5,Matches
Karim Bellarabi,de GER,"FW,DF",Leverkusen,29,1990,15.8,470,704,66.8,6833,2076,283,334,84.7,128,203,63.1,37,78,47.4,6,5.0,4.0,+1.0,25,28,28,11,43,Matches
Lars Bender,de GER,"DF,MF",Leverkusen,30,1989,15.3,907,1077,84.2,14123,4803,482,530,90.9,335,386,86.8,56,87,64.4,1,1.3,1.1,-0.3,18,63,12,2,109,Matches
Sven Bender,de GER,DF,Leverkusen,30,1989,30.3,2333,2565,91.0,43914,13889,785,864,90.9,1336,1413,94.6,182,232,78.4,1,0.3,0.7,+0.7,4,59,3,0,91,Matches
László Bénes,sk SVK,MF,M'Gladbach,21,1997,10.0,392,527,74.4,6918,2479,170,206,82.5,144,185,77.8,54,92,58.7,4,3.7,3.4,+0.3,28,54,9,2,66,Matches
Keanan Bennetts,eng ENG,MF,M'Gladbach,20,1999,0.0,1,1,100.0,13,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Ramy Bensebaini,dz ALG,DF,M'Gladbach,24,1995,16.1,732,953,76.8,11706,4432,389,445,87.4,267,336,79.5,54,103,52.4,3,2.4,1.4,+0.6,12,51,8,3,70,Matches
Valon Berisha,xk KVX,MF,Düsseldorf,26,1993,10.5,322,396,81.3,5096,995,172,195,88.2,108,124,87.1,27,42,64.3,1,0.7,0.9,+0.3,13,24,9,2,35,Matches
Jordan Beyer,de GER,DF,M'Gladbach,19,2000,1.2,32,44,72.7,463,104,12,15,80.0,17,22,77.3,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Ermin Bičakčić,ba BIH,DF,Hoffenheim,29,1990,13.1,700,815,85.9,12162,4768,314,344,91.3,311,350,88.9,61,97,62.9,0,0.1,0.3,-0.1,2,37,3,0,45,Matches
Leonardo Bittencourt,de GER,MF,Hoffenheim,25,1993,0.0,1,2,50.0,22,0,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Leonardo Bittencourt,de GER,"FW,MF",Werder Bremen,25,1993,21.0,662,905,73.1,9329,2894,400,465,86.0,194,279,69.5,37,75,49.3,2,2.4,3.2,-0.4,33,38,26,14,57,Matches
Jérôme Boateng,de GER,DF,Bayern Munich,30,1988,20.0,1530,1718,89.1,32412,11163,392,416,94.2,909,970,93.7,219,307,71.3,2,1.7,1.5,+0.3,5,123,13,1,128,Matches
Adam Bodzek,de GER,MF,Düsseldorf,33,1985,22.4,574,714,80.4,10807,3248,234,283,82.7,239,284,84.2,85,111,76.6,0,0.3,0.5,-0.3,8,59,2,1,74,Matches
