player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Rani Khedira,de GER,"DF,MF",Augsburg,24,1994,29.2,56,39,22,28,6,18,36,50.0,18,44,22,22,80,136,95,1,Matches
Isaac Kiese Thelin,se SWE,"FW,MF",Leverkusen,26,1992,2.0,2,1,0,2,0,1,2,50.0,1,1,0,1,0,2,4,0,Matches
Joshua Kimmich,de GER,"DF,MF",Bayern Munich,23,1995,34.0,46,26,17,22,7,25,54,46.3,29,35,9,26,34,80,41,3,Matches
Davy Klaassen,nl NED,MF,Werder Bremen,25,1993,31.3,64,47,24,33,7,14,49,28.6,35,44,9,35,47,111,47,0,Matches
Felix Klaus,de GER,"FW,MF",Wolfsburg,25,1992,4.9,10,7,4,5,1,2,7,28.6,5,5,0,5,4,14,0,0,Matches
Tim Kleindienst,de GER,FW,Freiburg,22,1995,2.2,4,3,1,2,1,1,3,33.3,2,3,0,3,0,4,7,0,Matches
Lukas Klostermann,de GER,DF,RB Leipzig,22,1996,22.3,50,29,33,12,5,29,45,64.4,16,37,5,32,29,79,74,0,Matches
Lukas Klünter,de GER,DF,Hertha BSC,22,1996,6.6,11,8,6,5,0,4,5,80.0,1,6,2,4,12,23,20,0,Matches
Robin Knoche,de GER,DF,Wolfsburg,26,1992,31.0,26,20,19,6,1,16,29,55.2,13,46,29,17,44,70,138,2,Matches
Törles Knöll,de GER,"FW,MF",Nürnberg,20,1997,4.1,3,2,1,1,1,0,4,0.0,4,5,1,4,0,3,2,0,Matches
Gregor Kobel,ch SUI,GK,Hoffenheim,20,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Gregor Kobel,ch SUI,GK,Augsburg,20,1997,15.4,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,5,3,Matches
Robin Koch,de GER,"MF,DF",Freiburg,22,1996,21.1,25,14,17,7,1,7,24,29.2,17,31,18,13,32,57,77,4,Matches
Dominik Kohr,de GER,MF,Leverkusen,24,1994,10.8,42,29,21,21,0,14,35,40.0,21,25,12,13,15,57,17,1,Matches
