player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,matches
Aurélio Buta,pt POR,DF,Eint Frankfurt,26-235,1997,3.5,234,9,66,108,62,11,234,10,4,40.0,6,60.0,125,572,286,11,5,6,4,6,141,20,Matches
Jamie Bynoe-Gittens,eng ENG,"DF,FW",Dortmund,19-056,2004,0.8,55,1,6,16,33,8,55,7,4,57.1,3,42.9,40,390,226,7,8,5,2,4,46,9,Matches
Anthony Caci,fr FRA,DF,Mainz 05,26-094,1997,6.0,373,13,96,190,93,6,373,9,5,55.6,4,44.4,174,842,572,8,4,0,3,2,210,18,Matches
Emre Can,de GER,MF,Dortmund,29-264,1994,3.9,244,10,71,138,41,2,243,6,2,33.3,4,66.7,108,597,278,5,2,0,8,3,148,1,Matches
Irvin Cardona,fr FRA,MF,Augsburg,26-056,1997,0.4,11,0,2,1,8,2,11,0,0,,0,,3,28,23,1,1,1,1,0,4,2,Matches
Rasmus Carstensen,dk DEN,"FW,DF",Köln,22-357,2000,3.9,183,5,38,71,79,19,183,11,3,27.3,5,45.5,103,564,241,9,2,2,13,8,111,31,Matches
Fabio Carvalho,pt POR,MF,RB Leipzig,21-034,2002,1.2,61,0,11,28,23,2,61,4,2,50.0,1,25.0,39,277,180,5,4,0,4,2,40,6,Matches
Koen Casteels,be BEL,GK,Wolfsburg,31-100,1992,6.0,260,197,257,3,0,0,260,0,0,,0,,155,794,433,0,0,0,1,0,137,0,Matches
Václav Černý,cz CZE,FW,Wolfsburg,25-351,1997,3.3,117,2,20,53,47,8,117,10,5,50.0,5,50.0,77,577,294,10,8,2,6,5,86,21,Matches
Julian Chabot,de GER,DF,Köln,25-233,1998,5.9,393,61,230,158,9,7,393,4,1,25.0,2,50.0,198,934,462,2,4,0,4,0,195,1,Matches
Fares Chaïbi,dz ALG,MF,Eint Frankfurt,20-309,2002,2.1,108,1,12,47,49,5,108,1,0,0.0,1,100.0,41,196,105,6,2,0,5,2,62,13,Matches
Kingsley Coman,fr FRA,FW,Bayern Munich,27-112,1996,3.9,239,2,37,65,139,33,239,22,8,36.4,12,54.5,161,1163,627,25,14,13,10,4,193,52,Matches
Danny da Costa,de GER,DF,Mainz 05,30-082,1993,2.3,145,4,24,66,56,5,145,1,0,0.0,1,100.0,69,347,155,6,3,1,0,3,83,18,Matches
Nicolas Cozza,fr FRA,DF,Wolfsburg,24-268,1999,0.7,65,2,21,36,8,0,65,1,0,0.0,1,100.0,27,118,63,2,0,0,3,0,32,5,Matches
Tomáš Čvančara,cz CZE,FW,M'Gladbach,23-051,2000,3.3,112,3,10,55,49,16,110,6,1,16.7,4,66.7,59,225,81,2,2,2,13,2,89,10,Matches
Finn Dahmen,de GER,GK,Augsburg,25-190,1998,6.0,324,208,317,7,0,0,324,0,0,,0,,222,1273,840,0,0,0,0,0,199,0,Matches
Lukas Daschner,de GER,"MF,FW",Bochum,25-002,1998,1.3,43,1,2,17,25,9,43,5,2,40.0,2,40.0,27,172,42,1,1,1,1,3,35,9,Matches
David Datro Fofana,ci CIV,"FW,MF",Union Berlin,20-285,2002,3.6,145,3,10,44,94,26,145,26,12,46.2,12,46.2,95,664,256,11,5,9,18,13,104,38,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,22-335,2000,5.7,480,11,120,221,151,21,480,37,22,59.5,13,35.1,310,2077,1251,33,26,13,12,5,326,33,Matches
Olivier Deman,be BEL,"DF,FW",Werder Bremen,23-180,2000,2.4,141,7,45,68,31,5,141,4,4,100.0,0,0.0,68,325,167,4,3,1,2,2,84,8,Matches
