player,nationality,position,team,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches
Andreas Luthe,de GER,GK,Augsburg,30,1987,2.0,4,1,0,0,0,3.5,0.35,-0.5,-0.26,10,26,38.5,65,12,32.3,32.1,14,35.7,35.4,31,5,16.1,1,0.50,6.6,Matches
Christian Mathenia,de GER,GK,Hamburger SV,25,1992,24.0,38,3,0,4,1,36.8,0.36,-0.2,-0.01,135,409,33.0,506,79,51.4,40.6,199,74.9,55.8,332,20,6.0,18,0.75,14.8,Matches
Florian Müller,de GER,GK,Mainz 05,19,1997,5.0,7,0,0,2,0,6.6,0.27,-0.4,-0.08,21,85,24.7,116,25,42.2,38.0,41,87.8,56.6,81,1,1.2,4,0.80,15.3,Matches
Yvon Mvogo,ch SUI,GK,RB Leipzig,23,1994,1.0,1,0,0,0,0,1.1,0.28,+0.1,+0.12,11,18,61.1,35,6,40.0,32.7,7,57.1,47.6,11,0,0.0,2,2.00,15.3,Matches
Manuel Neuer,de GER,GK,Bayern Munich,31,1986,3.0,2,0,0,0,0,2.6,0.38,+0.6,+0.21,12,23,52.2,78,11,25.6,31.8,17,17.6,31.6,15,1,6.7,4,1.33,15.1,Matches
Alexander Nübel,de GER,GK,Schalke 04,20,1996,0.5,0,0,0,0,0,0.3,0.14,+0.3,+0.55,5,13,38.5,13,3,46.2,39.2,9,77.8,52.4,7,0,0.0,1,2.00,30.0,Matches
Ramazan Özcan,at AUT,GK,Leverkusen,33,1984,1.0,4,0,0,0,0,4.1,0.39,+0.1,+0.09,3,10,30.0,33,6,30.3,31.0,6,0.0,27.0,14,0,0.0,1,1.00,17.0,Matches
Jiří Pavlenka,cz CZE,GK,Werder Bremen,25,1992,34.0,40,2,0,6,2,42.0,0.25,+4.0,+0.12,234,576,40.6,915,185,44.7,38.6,256,65.2,49.6,482,27,5.6,17,0.50,10.7,Matches
Julian Pollersbeck,de GER,GK,Hamburger SV,22,1994,10.0,15,0,1,1,0,15.5,0.34,+0.5,+0.05,51,168,30.4,480,49,29.6,32.7,65,40.0,40.8,114,16,14.0,15,1.50,15.2,Matches
Alexander Schwolow,de GER,GK,Freiburg,25,1992,32.3,53,4,1,7,4,41.4,0.25,-7.6,-0.24,313,779,40.2,1041,123,49.1,40.8,307,87.3,63.1,529,28,5.3,22,0.68,14.2,Matches
Tobias Sippel,de GER,GK,M'Gladbach,29,1988,4.8,10,0,0,0,0,10.2,0.45,+0.2,+0.05,31,88,35.2,153,15,41.2,37.1,34,73.5,53.3,63,3,4.8,5,1.04,14.8,Matches
Yann Sommer,ch SUI,GK,M'Gladbach,28,1988,29.2,42,4,0,6,1,39.3,0.24,-1.7,-0.06,178,482,36.9,1009,143,33.7,33.3,246,57.7,44.7,524,42,8.0,22,0.75,11.6,Matches
Tom Starke,de GER,GK,Bayern Munich,36,1981,2.0,0,0,0,0,0,0.7,0.17,+0.7,+0.34,4,18,22.2,48,9,27.1,31.9,9,55.6,42.7,18,1,5.6,1,0.50,20.3,Matches
Philipp Tschauner,de GER,GK,Hannover 96,31,1985,31.0,45,2,1,11,0,42.1,0.26,-2.9,-0.09,230,518,44.4,875,161,43.0,35.1,275,51.6,40.5,508,24,4.7,20,0.65,12.4,Matches
Sven Ulreich,de GER,GK,Bayern Munich,28,1988,29.0,26,1,1,2,3,25.3,0.26,+2.3,+0.08,137,328,41.8,795,141,33.1,32.5,153,42.5,39.8,247,15,6.1,37,1.28,15.4,Matches
Roman Weidenfeller,de GER,GK,Dortmund,36,1980,1.0,4,0,0,1,0,1.5,0.22,-2.5,-2.43,3,25,12.0,33,0,54.5,38.1,8,87.5,56.4,15,1,6.7,1,0.99,12.8,Matches
Robin Zentner,de GER,GK,Mainz 05,22,1994,15.0,27,4,1,3,1,21.3,0.26,-4.7,-0.31,100,279,35.8,386,75,47.9,38.7,126,74.6,54.8,211,11,5.2,19,1.27,14.3,Matches
Ron-Robert Zieler,de GER,GK,Stuttgart,28,1989,34.0,36,4,2,2,0,40.7,0.24,+4.7,+0.14,296,834,35.5,1029,123,57.2,42.8,300,81.7,59.0,547,34,6.2,37,1.09,13.6,Matches
