age,games,minutes,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_tackled,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,season,ID,Points,Position,xG,xA,key_passes,npxG,xGChain,xGBuildup
22,11,458,0,1,1,0,0,0,2,0,0.3,0.4,4.0,27.0,5.0,2,1,0.0,0.0,24.2,0.0,0.02,0.0,0.0,317.0,370.0,5701.0,2229.0,135.0,153.0,88.2,148.0,158.0,93.7,31.0,42.0,73.8,0.6,0.7,1.0,29.0,4.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,8,9.0,3.0,0.0,8.0,10.0,2.0,8.0,4.0,4.0,3,15.0,11.0,0.0,419.0,38.0,161.0,219.0,39.0,3.0,419.0,2.0,0.0,2.0,242.0,998.0,530.0,2.0,0.0,3.0,1.0,289.0,2023,7301,553.0,2,0.0810905937105417,0.3754783570766449,1,0.0810905937105417,1.1343650966882706,0.6777961701154709
25,15,1033170,1,0,1,1,0,0,1,0,1.6,2.5999999999999996,27.0,68.0,34.0,17,6,0.07,0.2,36.2,0.0,0.14,0.0,0.0,479.0,621.0,7759.0,2366.0,245.0,291.0,156.5,181.0,228.0,141.3,40.0,78.0,95.0,1.0,-1.6,8.0,64.0,14.0,2.0,36.0,23.0,1.0,2.0,6.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,37.0,18,23.0,11.0,3.0,17.0,32.0,15.0,17.0,4.0,13.0,41,78.0,32.0,0.0,818.0,37.0,182.0,474.0,171.0,16.0,818.0,36.0,17.0,16.0,403.0,2334.0,1103.0,17.0,3.0,16.0,7.0,450.0,2023,2987,1427.0,3,0.817571435123682,1.3189533315598965,8,0.817571435123682,4.663219437003136,3.914154574275017
20,14,686,1,0,1,1,0,0,0,1,0.7,1.8,12.0,17.0,25.0,9,3,0.11,0.33,15.8,0.0,0.12,0.0,0.0,186.0,288.0,3340.0,1285.0,85.0,101.0,84.2,75.0,106.0,70.8,21.0,59.0,35.6,1.1,-0.7,12.0,14.0,9.0,2.0,27.0,18.0,6.0,0.0,1.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,12.0,8,0.0,10.0,2.0,4.0,12.0,8.0,14.0,1.0,13.0,6,18.0,9.0,0.0,351.0,11.0,78.0,167.0,109.0,10.0,351.0,7.0,4.0,3.0,170.0,716.0,352.0,10.0,3.0,6.0,4.0,187.0,2023,4555,519.0,3,0.8074617246165872,0.954890095628798,12,0.8074617246165872,2.230926167219877,1.0781128527596593
24,4,65,0,0,0,0,0,0,0,0,0.0,0.0,1.0,2.0,7.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,50.0,729.0,302.0,10.0,10.0,100.0,22.0,29.0,75.9,4.0,8.0,50.0,0.1,0.0,0.0,4.0,2.0,1.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0,2.0,0.0,0.0,56.0,1.0,8.0,22.0,27.0,2.0,56.0,4.0,3.0,1.0,28.0,109.0,57.0,0.0,0.0,2.0,0.0,29.0,2023,2005,-39.0,3,0.0,0.0,0,0.0,0.0676451921463012,0.0676451921463012
21,12,636,0,0,0,0,0,0,4,0,0.2,0.2,3.0,29.0,6.0,2,1,0.0,0.0,26.5,0.0,0.02,0.0,0.0,271.0,315.0,4701.0,991.0,118.0,126.0,93.7,109.0,120.0,90.8,32.0,48.0,66.7,0.2,-0.2,4.0,21.0,4.0,2.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,10,8.0,6.0,6.0,11.0,17.0,6.0,7.0,4.0,3.0,9,29.0,15.0,0.0,405.0,29.0,106.0,235.0,69.0,4.0,405.0,17.0,12.0,5.0,208.0,986.0,309.0,4.0,1.0,6.0,7.0,260.0,2023,3004,481.0,3,0.0315544437617063,0.137501161545515,4,0.0315544437617063,1.8955104909837248,1.7880029641091824
27,16,1364,0,2,2,0,0,0,4,0,1.2,1.9,12.0,68.0,19.0,12,1,0.0,0.0,20.9,0.0,0.06,-0.7,-0.7,788.0,892.0,11910.0,3201.0,394.0,433.0,91.0,330.0,358.0,92.2,30.0,40.0,75.0,0.9,0.8,14.0,73.0,10.0,2.0,30.0,26.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,43.0,27,16.0,23.0,4.0,20.0,33.0,13.0,13.0,4.0,9.0,17,60.0,23.0,0.0,1040.0,38.0,200.0,663.0,183.0,11.0,1040.0,14.0,3.0,9.0,540.0,2276.0,1083.0,24.0,0.0,8.0,7.0,710.0,2023,2214,1772.0,3,0.6739933034405112,1.3502895534038544,14,0.6739933034405112,10.12257277034223,8.457116240635514
25,4,288,0,0,0,0,0,0,1,0,0.5,0.5,2.0,13.0,3.0,1,1,0.0,0.0,39.5,0.0,0.01,0.0,0.0,131.0,178.0,2249.0,1119.0,53.0,62.0,85.5,63.0,77.0,81.8,10.0,30.0,33.3,0.8,-0.5,2.0,10.0,2.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,3.0,0.0,0.0,1.0,4.0,3.0,6.0,2.0,4.0,1,4.0,7.0,0.0,202.0,12.0,83.0,100.0,19.0,0.0,202.0,1.0,0.0,1.0,123.0,397.0,218.0,2.0,0.0,1.0,0.0,135.0,2023,6746,122.0,2,0.0074080373160541,0.6134751439094543,2,0.0074080373160541,1.2684993166476488,0.6476161498576403
26,16,941,1,1,2,1,0,0,3,0,0.7,1.0,34.0,48.0,71.0,7,3,0.14,0.33,17.9,0.0,0.04,0.7,0.7,474.0,599.0,6805.0,2346.0,273.0,319.0,85.6,159.0,196.0,81.1,22.0,43.0,51.2,1.3,0.3,7.0,35.0,22.0,4.0,22.0,19.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,22.0,13,11.0,7.0,4.0,12.0,22.0,10.0,12.0,3.0,9.0,6,28.0,20.0,0.0,707.0,27.0,190.0,298.0,223.0,35.0,707.0,21.0,9.0,10.0,385.0,1851.0,938.0,18.0,12.0,15.0,14.0,442.0,2023,3479,930.0,2,0.3173600696027279,0.4398271292448044,7,0.3173600696027279,4.0576179921627045,3.4048274271190166
25,13,321,1,0,1,1,0,1,2,0,0.3,1.2,14.0,16.0,33.0,11,6,0.09,0.17,17.2,0.0,0.08,-0.7,0.1,118.0,184.0,1842.0,639.0,64.0,90.0,71.1,39.0,59.0,66.1,9.0,20.0,45.0,0.6,-0.3,5.0,11.0,4.0,1.0,15.0,10.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5,2.0,6.0,1.0,3.0,6.0,3.0,7.0,0.0,7.0,2,11.0,1.0,0.0,238.0,2.0,19.0,116.0,103.0,19.0,237.0,8.0,2.0,4.0,123.0,655.0,344.0,4.0,5.0,12.0,5.0,174.0,2023,1971,165.0,3,2.204937173984945,0.3915510047227144,5,1.4471604665741324,1.7998726647347212,0.3538897261023521
27,13,724,0,3,3,0,0,0,1,0,0.5,0.9,11.0,42.0,26.0,9,4,0.0,0.0,23.2,0.0,0.04,-0.4,-0.4,276.0,350.0,4749.0,1339.0,122.0,151.0,80.8,117.0,137.0,85.4,27.0,39.0,69.2,1.1,2.5,8.0,31.0,9.0,3.0,20.0,18.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,8,4.0,8.0,3.0,3.0,7.0,4.0,17.0,2.0,15.0,10,25.0,5.0,0.0,442.0,7.0,83.0,242.0,125.0,15.0,442.0,12.0,6.0,6.0,250.0,1269.0,534.0,11.0,2.0,10.0,14.0,294.0,2023,4623,539.0,3,0.3239010628312826,0.92462445423007,8,0.3239010628312826,3.356831196695566,2.426623874343932
