player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Karim Rekik,nl NED,DF,Hertha BSC,22,1994,25.6,2,8,2,25.0,0.31,0.08,0.25,1.00,13.8,0,0,0,0.5,0.5,0.07,+1.5,+1.5,Matches
Panagiotis Retsos,gr GRE,DF,Leverkusen,18,1998,19.1,1,11,2,18.2,0.58,0.10,0.09,0.50,13.9,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
Marco Reus,de GER,"MF,FW",Dortmund,28,1989,10.3,7,30,14,46.7,2.91,1.36,0.23,0.50,16.3,1,0,1,5.5,4.7,0.16,+1.5,+2.3,Matches
Elvis Rexhbeçaj,de GER,"DF,MF",Wolfsburg,19,1997,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Franck Ribéry,fr FRA,"FW,MF",Bayern Munich,34,1983,13.4,5,20,10,50.0,1.50,0.75,0.25,0.50,15.5,0,0,0,3.3,3.3,0.16,+1.7,+1.7,Matches
Marco Richter,de GER,FW,Augsburg,19,1997,7.2,1,12,3,25.0,1.68,0.42,0.08,0.33,18.9,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
Birk Risa,no NOR,FW,Köln,19,1998,0.9,0,2,0,0.0,2.22,0.00,0.00,,7.7,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
Marcel Risse,de GER,"DF,MF",Köln,27,1989,13.0,1,18,5,27.8,1.39,0.38,0.06,0.20,26.8,6,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
Arjen Robben,nl NED,"FW,MF",Bayern Munich,33,1984,16.7,5,50,20,40.0,2.99,1.19,0.10,0.25,18.8,4,0,1,5.1,4.3,0.09,-0.1,+0.7,Matches
James Rodríguez,co COL,"MF,FW",Bayern Munich,26,1991,18.0,7,40,15,37.5,2.22,0.83,0.18,0.47,18.8,3,0,0,4.8,4.8,0.12,+2.2,+2.2,Matches
Sebastian Rudy,de GER,MF,Bayern Munich,27,1990,16.8,1,19,6,31.6,1.13,0.36,0.05,0.17,23.6,1,0,0,0.9,0.9,0.05,+0.1,+0.1,Matches
Lukas Rupp,de GER,"MF,FW",Hoffenheim,26,1991,12.9,3,16,7,43.8,1.24,0.54,0.19,0.43,16.7,0,0,0,2.4,2.4,0.15,+0.6,+0.6,Matches
Marco Russ,de GER,DF,Eint Frankfurt,31,1985,12.7,1,7,5,71.4,0.55,0.39,0.14,0.20,10.3,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
Marcel Sabitzer,at AUT,"MF,FW",RB Leipzig,23,1994,19.9,3,62,23,37.1,3.12,1.16,0.05,0.13,21.5,2,0,0,3.8,3.8,0.06,-0.8,-0.8,Matches
Nuri Şahin,tr TUR,MF,Dortmund,28,1988,13.6,2,25,7,28.0,1.84,0.51,0.08,0.29,21.5,1,0,0,2.1,2.1,0.08,-0.1,-0.1,Matches
Gōtoku Sakai,jp JPN,"DF,MF",Hamburger SV,26,1991,25.4,0,18,5,27.8,0.71,0.20,0.00,0.00,24.2,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Carlos Salcedo,mx MEX,DF,Eint Frankfurt,23,1993,17.9,0,5,2,40.0,0.28,0.11,0.00,0.00,24.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Sejad Salihović,ba BIH,MF,Hamburger SV,32,1984,4.1,1,8,2,25.0,1.95,0.49,0.00,0.00,32.0,0,1,1,1.0,0.2,0.03,0.0,-0.2,Matches
Jairo Samperio,es ESP,"MF,FW",Mainz 05,24,1993,0.4,0,1,1,100.0,2.50,2.50,0.00,0.00,8.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
