player,nationality,position,team,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches
Alexander Meyer,de GER,GK,Dortmund,32-258,1991,0.7,1,0,0,0,0,1.0,0.52,0.0,+0.05,1,3,33.3,21,5,14.3,22.5,7,0.0,20.7,9,2,22.2,0,0.00,6.8,Matches
Kevin Müller,de GER,GK,Heidenheim,32-287,1991,16.0,32,6,0,5,2,29.8,0.25,-0.2,-0.01,136,311,43.7,558,71,40.0,37.4,143,61.5,45.9,241,15,6.2,12,0.75,13.9,Matches
Manuel Neuer,de GER,GK,Bayern Munich,37-275,1986,7.0,8,0,0,0,0,5.9,0.29,-2.1,-0.30,24,53,45.3,276,32,17.4,28.1,32,15.6,24.9,54,1,1.9,5,0.71,20.9,Matches
Moritz Nicolas,de GER,GK,M'Gladbach,26-067,1997,14.0,28,4,0,4,0,28.3,0.27,+0.3,+0.02,50,157,31.8,463,79,25.7,29.3,83,45.8,41.2,238,12,5.0,12,0.86,13.3,Matches
Alexander Nübel,de GER,GK,Stuttgart,27-088,1996,16.0,19,1,0,3,2,16.6,0.26,-0.4,-0.02,77,161,47.8,570,79,23.5,28.8,71,38.0,33.5,193,21,10.9,37,2.31,17.7,Matches
Jonas Omlin,ch SUI,GK,M'Gladbach,29-351,1994,2.0,7,1,0,1,0,6.0,0.28,-1.0,-0.51,11,32,34.4,67,13,40.3,37.0,10,50.0,40.4,27,1,3.7,2,1.00,13.3,Matches
Jiří Pavlenka,cz CZE,GK,Werder Bremen,31-257,1992,7.0,17,2,0,1,0,13.1,0.30,-3.9,-0.56,31,85,36.5,177,37,37.9,34.2,69,26.1,32.5,109,7,6.4,9,1.29,14.4,Matches
Pavao Pervan,at AUT,GK,Wolfsburg,36-044,1987,3.0,7,0,1,0,1,6.1,0.38,+0.1,+0.05,9,41,22.0,106,23,32.1,31.9,11,63.6,49.2,37,0,0.0,2,0.67,13.3,Matches
Manuel Riemann,de GER,GK,Bochum,35-109,1988,16.0,33,3,0,4,2,29.2,0.27,-1.8,-0.11,185,486,38.1,728,41,59.6,41.7,98,53.1,42.6,229,16,7.0,50,3.13,20.1,Matches
Frederik Rønnow,dk DEN,GK,Union Berlin,31-145,1992,15.0,31,3,1,5,1,26.4,0.29,-3.6,-0.24,66,224,29.5,469,69,35.2,33.2,96,61.5,47.3,220,20,9.1,24,1.60,14.8,Matches
Marcel Schuhen,de GER,GK,Darmstadt 98,30-348,1993,15.0,40,1,1,5,0,34.4,0.33,-5.6,-0.37,114,292,39.0,654,78,34.9,34.2,126,50.8,42.4,219,11,5.0,29,1.93,16.7,Matches
Marvin Schwäbe,de GER,GK,Köln,28-246,1995,16.0,28,1,0,3,0,33.4,0.39,+5.4,+0.34,69,161,42.9,583,55,24.2,29.5,74,27.0,31.5,202,5,2.5,14,0.88,14.8,Matches
Kevin Trapp,de GER,GK,Eint Frankfurt,33-172,1990,15.0,19,3,0,1,0,19.5,0.26,+0.5,+0.04,51,170,30.0,458,62,28.6,29.6,109,35.8,33.3,222,6,2.7,13,0.87,14.5,Matches
Sven Ulreich,de GER,GK,Bayern Munich,35-146,1988,8.0,7,1,1,2,0,6.6,0.33,-0.4,-0.05,20,64,31.3,261,35,21.8,26.3,34,20.6,27.1,70,2,2.9,14,1.75,23.0,Matches
Robin Zentner,de GER,GK,Mainz 05,29-060,1994,12.0,25,2,1,1,1,23.4,0.42,-0.6,-0.05,51,148,34.5,331,73,39.0,35.6,60,31.7,32.8,149,15,10.1,16,1.33,16.7,Matches
Michael Zetterer,de GER,GK,Werder Bremen,28-168,1995,9.0,13,1,0,1,1,12.0,0.33,0.0,0.00,42,95,44.2,311,59,26.0,32.1,51,27.5,34.2,122,14,11.5,6,0.67,12.9,Matches
