player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
Jonas Carls,de GER,FW,Schalke 04,21,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Koen Casteels,be BEL,GK,Wolfsburg,26,1992,26,26,"2,295",25.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gonzalo Castro,de GER,MF,Stuttgart,31,1987,25,19,"1,692",18.8,2,4,6,2,0,0,4,0,1.2,1.2,2.2,3.4,24,92,37,0.11,0.21,0.32,0.11,0.32,0.06,0.11,0.18,0.06,0.18,Matches
Timothy Chandler,us USA,DF,Eint Frankfurt,28,1990,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.47,0.00,0.47,Matches
Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,31,1987,16,12,997,11.1,0,1,1,0,0,0,3,0,0.5,0.5,0.3,0.8,14,57,14,0.00,0.09,0.09,0.00,0.09,0.04,0.03,0.07,0.04,0.07,Matches
Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,22,1996,21,17,"1,378",15.3,6,4,10,6,0,0,2,0,4.0,4.0,4.0,8.0,99,55,244,0.39,0.26,0.65,0.39,0.65,0.26,0.26,0.52,0.26,0.52,Matches
Sergio Córdova,ve VEN,FW,Augsburg,20,1997,20,3,531,5.9,3,0,3,3,0,0,1,0,1.0,1.0,0.2,1.2,8,11,27,0.51,0.00,0.51,0.51,0.51,0.17,0.03,0.20,0.17,0.20,Matches
Danny da Costa,de GER,"DF,FW",Eint Frankfurt,25,1993,34,34,"3,033",33.7,2,4,6,2,0,0,1,0,3.6,3.6,5.4,9.0,76,88,185,0.06,0.12,0.18,0.06,0.18,0.11,0.16,0.27,0.11,0.27,Matches
Mickaël Cuisance,fr FRA,MF,M'Gladbach,18,1999,11,1,279,3.1,0,1,1,0,0,0,3,0,0.4,0.4,0.3,0.7,8,20,19,0.00,0.32,0.32,0.00,0.32,0.14,0.09,0.23,0.14,0.23,Matches
Matheus Cunha,br BRA,"FW,MF",RB Leipzig,19,1999,25,9,853,9.5,2,0,2,2,0,0,1,0,4.2,4.2,0.7,4.9,21,30,75,0.21,0.00,0.21,0.21,0.21,0.44,0.08,0.52,0.44,0.52,Matches
