player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,matches
Gio Reyna,us USA,"MF,FW",Dortmund,16,2002,3.9,261,3,28,153,85,14,261,21,14,66.7,7,33.3,163,884,451,11,7,6,7,8,216,24,Matches
Lucas Ribeiro,br BRA,MF,Hoffenheim,20,1999,0.7,34,2,13,19,2,1,34,5,3,60.0,2,40.0,16,77,42,1,0,0,1,2,15,0,Matches
Chris Richards,us USA,DF,Bayern Munich,19,2000,0.1,5,0,1,4,0,0,5,0,0,,0,,3,29,1,0,0,0,0,0,4,0,Matches
Marco Richter,de GER,"MF,FW",Augsburg,21,1997,25.3,954,16,153,411,412,56,954,107,44,41.1,63,58.9,628,3265,1406,40,42,20,105,53,628,110,Matches
Marcel Risse,de GER,"MF,FW",Köln,29,1989,1.5,85,2,18,34,34,5,85,3,1,33.3,2,66.7,38,191,76,4,2,2,0,1,40,9,Matches
Marlon Ritter,de GER,MF,Paderborn 07,24,1994,4.8,259,7,64,120,80,7,259,4,2,50.0,2,50.0,134,752,352,6,5,3,9,4,153,15,Matches
Sebastian Rode,de GER,MF,Eint Frankfurt,28,1990,21.5,1412,39,299,864,259,15,1412,14,13,92.9,1,7.1,704,3999,2206,37,30,3,25,11,888,41,Matches
Jérôme Roussillon,fr FRA,DF,Wolfsburg,26,1993,26.3,1416,74,402,622,420,44,1416,88,47,53.4,41,46.6,703,4296,2385,77,54,22,45,28,707,120,Matches
Sebastian Rudy,de GER,"MF,DF",Hoffenheim,29,1990,30.4,1800,58,401,996,416,19,1800,26,18,69.2,8,30.8,903,3729,1929,35,33,0,34,18,1141,72,Matches
Lukas Rupp,de GER,MF,Hoffenheim,28,1991,3.8,213,8,37,119,60,10,213,9,2,22.2,7,77.8,110,602,213,7,4,2,12,8,144,18,Matches
Julian Ryerson,no NOR,"DF,MF",Union Berlin,21,1997,4.1,219,16,68,95,60,5,219,12,7,58.3,5,41.7,126,580,256,10,8,1,5,7,101,9,Matches
Frederik Rønnow,dk DEN,GK,Eint Frankfurt,26,1992,9.0,372,310,369,3,0,0,372,0,0,,0,,201,894,602,0,0,0,1,0,178,0,Matches
João Victor Santos Sá,br BRA,"MF,FW",Wolfsburg,25,1994,18.1,669,8,80,292,312,54,669,48,30,62.5,18,37.5,394,2448,1274,48,31,20,45,27,415,100,Matches
Abdelhamid Sabiri,ma MAR,MF,Paderborn 07,22,1996,11.6,598,39,137,337,131,16,597,40,25,62.5,15,37.5,361,1716,737,15,10,1,28,27,413,16,Matches
Marcel Sabitzer,at AUT,"MF,FW",RB Leipzig,25,1994,27.8,1818,34,238,952,649,68,1818,31,16,51.6,15,48.4,911,4435,2347,68,56,12,36,28,1274,169,Matches
Nuri Şahin,tr TUR,MF,Werder Bremen,30,1988,13.9,928,57,222,546,169,4,928,16,10,62.5,6,37.5,487,1858,1006,9,18,1,8,5,512,14,Matches
Roland Sallai,hu HUN,"MF,FW",Freiburg,22,1997,12.9,506,7,58,202,255,44,506,49,26,53.1,23,46.9,336,2358,1093,47,24,8,35,15,384,89,Matches
Lazar Samardzic,rs SRB,"MF,FW",Hertha BSC,17,2002,0.4,15,1,5,7,3,0,15,2,1,50.0,1,50.0,5,66,28,2,1,0,1,0,7,0,Matches
Diadie Samassékou,ml MLI,MF,Hoffenheim,23,1996,14.6,763,48,212,441,118,8,763,23,16,69.6,7,30.4,399,1615,723,6,13,1,15,7,430,23,Matches
Renato Sanches,pt POR,MF,Bayern Munich,21,1997,0.1,10,0,1,4,5,1,10,0,0,,0,,9,38,25,0,0,0,0,0,8,1,Matches
Jadon Sancho,eng ENG,"FW,MF",Dortmund,19,2000,25.4,1889,8,144,791,984,122,1889,138,77,55.8,61,44.2,1286,8217,4153,135,106,48,61,33,1579,298,Matches
Salif Sané,sn SEN,DF,Schalke 04,28,1990,12.5,831,70,365,437,35,17,831,11,8,72.7,3,27.3,456,2413,1289,11,3,1,7,8,511,10,Matches
Marcelo Saracchi,uy URU,DF,RB Leipzig,21,1998,2.0,162,7,45,84,38,3,162,3,3,100.0,0,0.0,70,486,290,6,3,0,4,1,88,7,Matches
Josh Sargent,us USA,FW,Werder Bremen,19,2000,15.7,544,25,77,262,210,53,544,30,18,60.0,12,40.0,358,1646,524,17,12,5,52,32,404,79,Matches
Louis Schaub,at AUT,MF,Köln,24,1994,6.9,374,3,41,183,154,17,374,32,20,62.5,12,37.5,214,1416,658,23,16,6,23,14,247,49,Matches
Patrik Schick,cz CZE,FW,RB Leipzig,23,1996,14.4,521,16,38,231,256,107,521,41,18,43.9,23,56.1,252,1042,347,14,8,10,53,13,388,118,Matches
Julian Schieber,de GER,FW,Augsburg,30,1989,0.5,17,0,0,11,6,2,17,0,0,,0,,9,45,34,2,2,0,1,0,12,2,Matches
Kingsley Schindler,gh GHA,"FW,MF",Köln,26,1993,9.4,368,25,72,141,162,33,368,18,10,55.6,8,44.4,182,1007,500,18,8,6,32,12,231,79,Matches
Xaver Schlager,at AUT,MF,Wolfsburg,21,1997,19.1,894,21,153,539,224,31,894,27,21,77.8,6,22.2,549,3086,1629,39,34,7,33,45,537,41,Matches
Keven Schlotterbeck,de GER,DF,Union Berlin,22,1997,21.5,1138,151,679,444,28,12,1138,11,10,90.9,1,9.1,539,2984,1490,5,4,0,7,3,517,1,Matches
Nico Schlotterbeck,de GER,DF,Freiburg,19,1999,4.1,255,32,129,106,21,7,255,3,3,100.0,0,0.0,121,772,432,6,7,1,2,3,139,3,Matches
Marcel Schmelzer,de GER,DF,Dortmund,31,1988,0.7,60,2,10,35,16,2,60,0,0,,0,,36,142,56,1,2,0,1,1,37,4,Matches
Jonathan Schmid,fr FRA,DF,Freiburg,29,1990,31.5,1892,92,538,799,568,41,1892,33,14,42.4,19,57.6,873,4193,2176,51,46,9,29,24,989,142,Matches
Manuel Schmiedebach,de GER,MF,Union Berlin,30,1988,2.0,69,3,25,38,7,0,69,1,0,0.0,1,100.0,26,77,24,0,0,0,6,2,27,0,Matches
Benno Schmitz,de GER,DF,Köln,24,1994,12.9,883,32,242,444,201,4,883,5,1,20.0,4,80.0,368,1672,990,19,19,2,12,3,472,47,Matches
Sebastian Schonlau,de GER,DF,Paderborn 07,24,1994,23.0,1785,254,1073,694,37,14,1785,10,9,90.0,1,10.0,1107,7028,4056,14,4,0,21,2,1125,3,Matches
Alessandro Schöpf,at AUT,MF,Schalke 04,25,1994,15.9,872,16,173,406,306,33,872,39,23,59.0,16,41.0,505,2720,1204,34,26,7,46,40,576,85,Matches
