player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Tim Breithaupt,de GER,MF,Augsburg,21-238,2002,1.5,41,53,77.4,595,184,22,26,84.6,17,21,81.0,1,3,33.3,0,0.0,0.1,0.0,1,2,1,0,2,Matches
John Brooks,us USA,DF,Hoffenheim,30-248,1993,5.5,197,246,80.1,4152,1803,53,62,85.5,112,129,86.8,31,49,63.3,0,0.1,0.0,-0.1,2,14,1,0,20,Matches
Moritz Broschinski,de GER,"FW,MF",Bochum,23-010,2000,0.8,4,6,66.7,48,10,3,3,100.0,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Marius Bülter,de GER,"DF,MF",Hoffenheim,30-188,1993,2.8,88,122,72.1,1660,615,38,47,80.9,38,48,79.2,11,20,55.0,1,1.0,1.5,0.0,4,6,4,2,11,Matches
Oliver Burke,sct SCO,FW,Werder Bremen,26-179,1997,0.4,6,12,50.0,98,18,2,4,50.0,4,6,66.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Marnon Busch,de GER,DF,Heidenheim,28-299,1994,0.3,14,23,60.9,350,183,4,5,80.0,6,8,75.0,4,7,57.1,0,0.0,0.0,0.0,0,3,0,0,3,Matches
Aurélio Buta,pt POR,DF,Eint Frankfurt,26-235,1997,3.5,151,197,76.6,2198,666,84,106,79.2,52,62,83.9,8,17,47.1,0,0.2,0.4,-0.2,1,11,4,2,7,Matches
Jamie Bynoe-Gittens,eng ENG,"DF,FW",Dortmund,19-056,2004,0.8,29,38,76.3,372,52,20,22,90.9,9,10,90.0,0,2,0.0,0,0.0,0.1,0.0,1,1,1,0,1,Matches
Anthony Caci,fr FRA,DF,Mainz 05,26-094,1997,6.0,235,331,71.0,4592,1928,101,120,84.2,88,117,75.2,42,78,53.8,0,0.5,0.8,-0.5,5,27,15,4,41,Matches
Emre Can,de GER,MF,Dortmund,29-264,1994,3.9,173,205,84.4,3094,864,75,81,92.6,80,92,87.0,16,24,66.7,1,0.4,0.2,+0.6,7,16,0,0,15,Matches
