ID,Name,Team,birth_year,Stats,Einsatzquote
8374,Martin Terrier,Bayer 04 Leverkusen,1997,"{'Passquote': '83,6%', 'Zweikampfquote': '47,3%', 'Luftkämpfe': '45,8%', 'Tacklingquote': '28,6%', 'Begangene Fouls': '0,3', 'Geklärte Bälle': '0,15', 'Abgefangene Bälle': '0,15', 'Balleroberungen': '0,3', 'Ballverluste': '1,63', 'Erfolgreiche Dribblings': '28,6%', 'Torschussvorlagen': '1,18', 'Kreierte Großchancen': '0,3', 'Schüsse aufs Tor': '1,48', 'Schussgenauigkeit': '62,5%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",22
3132,Amine Adli,Bayer 04 Leverkusen,2000,"{'Passquote': '71,5%', 'Zweikampfquote': '54,4%', 'Luftkämpfe': '53,3%', 'Tacklingquote': '33,3%', 'Begangene Fouls': '0,83', 'Geklärte Bälle': '0,83', 'Abgefangene Bälle': '0', 'Balleroberungen': '1,1', 'Ballverluste': '3,3', 'Erfolgreiche Dribblings': '41,2%', 'Torschussvorlagen': '0,55', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '1,65', 'Schussgenauigkeit': '75,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",16
6745,Victor Boniface,Bayer 04 Leverkusen,2000,"{'Passquote': '73,0%', 'Zweikampfquote': '44,1%', 'Luftkämpfe': '65,0%', 'Tacklingquote': '75,0%', 'Begangene Fouls': '1', 'Geklärte Bälle': '0,45', 'Abgefangene Bälle': '0', 'Balleroberungen': '0,33', 'Ballverluste': '4,45', 'Erfolgreiche Dribblings': '37,5%', 'Torschussvorlagen': '0,89', 'Kreierte Großchancen': '0,11', 'Schüsse aufs Tor': '2,89', 'Schussgenauigkeit': '57,8%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",32
9612,Artem Stepanov,Bayer 04 Leverkusen,2007,"{'Passquote': '0,0%', 'Zweikampfquote': '0,0%', 'Luftkämpfe': '0,0%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '0', 'Geklärte Bälle': '0', 'Abgefangene Bälle': '0', 'Balleroberungen': '0', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",1
0,Alejo Sarco,Bayer 04 Leverkusen,2006,"{'Passquote': '0,0%', 'Zweikampfquote': '0,0%', 'Luftkämpfe': '0,0%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '0', 'Geklärte Bälle': '0', 'Abgefangene Bälle': '0', 'Balleroberungen': '0', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",0
1581,Alexander Nübel,VfB Stuttgart,1996,"{'Abgewehrte Schüsse': '64,6%', 'Paraden': '1,55', 'Weiße Weste': '4', 'Strafraum-beherrschung': '100,0%', 'Abgewehrte Elfmeter': '33,3%', 'Großchancen vereitelt': '47,8%', 'Fehler vor Schuss/Gegentor': '0,08'}",91
2237,Fabian Bredlow,VfB Stuttgart,1995,"{'Abgewehrte Schüsse': '0,0%', 'Paraden': '0', 'Weiße Weste': '0', 'Strafraum-beherrschung': '0,0%', 'Abgewehrte Elfmeter': '0,0%', 'Großchancen vereitelt': '0,0%', 'Fehler vor Schuss/Gegentor': '0'}",8
0,Stefan Drljača,VfB Stuttgart,1999,"{'Abgewehrte Schüsse': '0,0%', 'Paraden': '0', 'Weiße Weste': '0', 'Strafraum-beherrschung': '0,0%', 'Abgewehrte Elfmeter': '0,0%', 'Großchancen vereitelt': '0,0%', 'Fehler vor Schuss/Gegentor': '0'}",0
6085,Dennis Seimen,VfB Stuttgart,2005,"{'Abgewehrte Schüsse': '0,0%', 'Paraden': '0', 'Weiße Weste': '0', 'Strafraum-beherrschung': '0,0%', 'Abgewehrte Elfmeter': '0,0%', 'Großchancen vereitelt': '0,0%', 'Fehler vor Schuss/Gegentor': '0'}",0
3190,Julian Chabot,VfB Stuttgart,1998,"{'Passquote': '88,8%', 'Zweikampfquote': '59,1%', 'Luftkämpfe': '65,5%', 'Tacklingquote': '43,6%', 'Begangene Fouls': '1,41', 'Geklärte Bälle': '5,31', 'Abgefangene Bälle': '1,52', 'Balleroberungen': '0,92', 'Ballverluste': '0,11', 'Erfolgreiche Dribblings': '66,7%', 'Torschussvorlagen': '0,16', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0,27', 'Schussgenauigkeit': '38,5%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,6'}",75
2068,Dan-Axel Zagadou,VfB Stuttgart,1999,"{'Passquote': '100,0%', 'Zweikampfquote': '0,0%', 'Luftkämpfe': '0,0%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '2,5', 'Geklärte Bälle': '2,5', 'Abgefangene Bälle': '2,5', 'Balleroberungen': '0', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",1
8247,Ramon Hendriks,VfB Stuttgart,2001,"{'Passquote': '83,4%', 'Zweikampfquote': '63,4%', 'Luftkämpfe': '59,4%', 'Tacklingquote': '26,7%', 'Begangene Fouls': '0,84', 'Geklärte Bälle': '3,59', 'Abgefangene Bälle': '1,55', 'Balleroberungen': '0,48', 'Ballverluste': '0,48', 'Erfolgreiche Dribblings': '80,0%', 'Torschussvorlagen': '0,36', 'Kreierte Großchancen': '0,12', 'Schüsse aufs Tor': '0,48', 'Schussgenauigkeit': '100,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,6'}",31
7530,Anrie Chase,VfB Stuttgart,2004,"{'Passquote': '91,9%', 'Zweikampfquote': '51,7%', 'Luftkämpfe': '58,6%', 'Tacklingquote': '33,3%', 'Begangene Fouls': '1,37', 'Geklärte Bälle': '3,87', 'Abgefangene Bälle': '1,02', 'Balleroberungen': '0,46', 'Ballverluste': '0,46', 'Erfolgreiche Dribblings': '40,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0,11', 'Schussgenauigkeit': '20,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,8'}",36
7349,Finn Jeltsch,VfB Stuttgart,2006,"{'Passquote': '89,2%', 'Zweikampfquote': '83,3%', 'Luftkämpfe': '100,0%', 'Tacklingquote': '100,0%', 'Begangene Fouls': '0,87', 'Geklärte Bälle': '1,75', 'Abgefangene Bälle': '0,87', 'Balleroberungen': '1,75', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '1,75'}",62
9615,Ameen Al-Dakhil,VfB Stuttgart,2002,"{'Passquote': '92,7%', 'Zweikampfquote': '53,8%', 'Luftkämpfe': '30,8%', 'Tacklingquote': '100,0%', 'Begangene Fouls': '0,87', 'Geklärte Bälle': '6,35', 'Abgefangene Bälle': '2,02', 'Balleroberungen': '1,73', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0,29', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0,29', 'Geblockte Bälle': '1,44'}",12
10112,Luca Jaquez,VfB Stuttgart,2003,"{'Passquote': '0,0%', 'Zweikampfquote': '0,0%', 'Luftkämpfe': '0,0%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '0', 'Geklärte Bälle': '0', 'Abgefangene Bälle': '0', 'Balleroberungen': '0', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",0
1664,Maximilian Mittelstädt,VfB Stuttgart,1997,"{'Passquote': '82,6%', 'Zweikampfquote': '64,3%', 'Luftkämpfe': '57,1%', 'Tacklingquote': '58,1%', 'Begangene Fouls': '0,84', 'Geklärte Bälle': '2,84', 'Abgefangene Bälle': '1,21', 'Balleroberungen': '1,9', 'Ballverluste': '0,95', 'Erfolgreiche Dribblings': '52,2%', 'Torschussvorlagen': '1,84', 'Kreierte Großchancen': '0,47', 'Schüsse aufs Tor': '0,26', 'Schussgenauigkeit': '41,7%', 'Fehler vor Schuss/Gegentor': '0,05', 'Geblockte Bälle': '0,74'}",77
1758,Pascal Stenzel,VfB Stuttgart,1996,"{'Passquote': '81,9%', 'Zweikampfquote': '25,0%', 'Luftkämpfe': '20,0%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '0,61', 'Geklärte Bälle': '2,45', 'Abgefangene Bälle': '0', 'Balleroberungen': '0', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '1,22', 'Schussgenauigkeit': '66,7%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,61'}",16
2199,Josha Vagnoman,VfB Stuttgart,2000,"{'Passquote': '79,7%', 'Zweikampfquote': '45,0%', 'Luftkämpfe': '50,0%', 'Tacklingquote': '32,4%', 'Begangene Fouls': '0,82', 'Geklärte Bälle': '2,35', 'Abgefangene Bälle': '0,6', 'Balleroberungen': '0,6', 'Ballverluste': '2,13', 'Erfolgreiche Dribblings': '27,6%', 'Torschussvorlagen': '0,88', 'Kreierte Großchancen': '0,16', 'Schüsse aufs Tor': '0,44', 'Schussgenauigkeit': '61,5%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,44'}",67
7257,Leonidas Stergiou,VfB Stuttgart,2002,"{'Passquote': '82,6%', 'Zweikampfquote': '64,9%', 'Luftkämpfe': '20,0%', 'Tacklingquote': '52,2%', 'Begangene Fouls': '0,54', 'Geklärte Bälle': '2,5', 'Abgefangene Bälle': '1,07', 'Balleroberungen': '2,14', 'Ballverluste': '0,71', 'Erfolgreiche Dribblings': '40,0%', 'Torschussvorlagen': '0,36', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0,18', 'Schussgenauigkeit': '100,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,89'}",19
2214,Atakan Karazor,VfB Stuttgart,1996,"{'Passquote': '87,2%', 'Zweikampfquote': '61,1%', 'Luftkämpfe': '57,4%', 'Tacklingquote': '31,0%', 'Begangene Fouls': '0,94', 'Geklärte Bälle': '1,46', 'Abgefangene Bälle': '1,05', 'Balleroberungen': '0,94', 'Ballverluste': '0,99', 'Erfolgreiche Dribblings': '57,9%', 'Torschussvorlagen': '0,58', 'Kreierte Großchancen': '0,16', 'Schüsse aufs Tor': '0,31', 'Schussgenauigkeit': '75,0%', 'Fehler vor Schuss/Gegentor': '0,05', 'Geblockte Bälle': '0,16'}",77
2694,Angelo Stiller,VfB Stuttgart,2001,"{'Passquote': '87,8%', 'Zweikampfquote': '57,8%', 'Luftkämpfe': '41,2%', 'Tacklingquote': '41,2%', 'Begangene Fouls': '0,76', 'Geklärte Bälle': '1,35', 'Abgefangene Bälle': '0,8', 'Balleroberungen': '0,89', 'Ballverluste': '1,14', 'Erfolgreiche Dribblings': '72,0%', 'Torschussvorlagen': '1,64', 'Kreierte Großchancen': '0,42', 'Schüsse aufs Tor': '0,34', 'Schussgenauigkeit': '72,7%', 'Fehler vor Schuss/Gegentor': '0,13', 'Geblockte Bälle': '0,38'}",93
