player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
Panagiotis Retsos,gr GRE,DF,Leverkusen,20,1998,1.3,1,0.78,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marco Reus,de GER,"MF,FW",Dortmund,30,1989,16.6,56,3.37,42,4,2,5,3,0,9,0.54,8,0,0,0,1,0,Matches
Elvis Rexhbeçaj,de GER,MF,Köln,21,1997,6.9,21,3.04,12,3,2,3,0,1,7,1.01,5,1,0,1,0,0,Matches
Gio Reyna,us USA,"MF,FW",Dortmund,16,2002,3.9,18,4.58,14,0,1,0,3,0,4,1.02,4,0,0,0,0,0,Matches
Lucas Ribeiro,br BRA,MF,Hoffenheim,20,1999,0.7,2,2.77,0,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
Chris Richards,us USA,DF,Bayern Munich,19,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marco Richter,de GER,"MF,FW",Augsburg,21,1997,25.3,53,2.09,34,1,10,3,5,0,7,0.28,3,0,1,0,3,0,Matches
Marcel Risse,de GER,"MF,FW",Köln,29,1989,1.5,8,5.45,4,4,0,0,0,0,2,1.36,0,2,0,0,0,0,Matches
Marlon Ritter,de GER,MF,Paderborn 07,24,1994,4.8,23,4.76,13,6,2,1,1,0,4,0.83,3,0,0,1,0,0,Matches
Sebastian Rode,de GER,MF,Eint Frankfurt,28,1990,21.5,59,2.74,44,6,1,1,4,3,8,0.37,4,2,0,0,0,2,Matches
Jérôme Roussillon,fr FRA,DF,Wolfsburg,26,1993,26.3,51,1.94,41,0,6,0,2,2,5,0.19,4,0,1,0,0,0,Matches
Sebastian Rudy,de GER,"MF,DF",Hoffenheim,29,1990,30.4,105,3.46,75,16,2,3,6,3,11,0.36,9,1,0,0,0,1,Matches
Lukas Rupp,de GER,MF,Hoffenheim,28,1991,3.8,9,2.38,8,0,0,1,0,0,1,0.26,1,0,0,0,0,0,Matches
Julian Ryerson,no NOR,"DF,MF",Union Berlin,21,1997,4.1,6,1.47,2,2,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Frederik Rønnow,dk DEN,GK,Eint Frankfurt,26,1992,9.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
João Victor Santos Sá,br BRA,"MF,FW",Wolfsburg,25,1994,18.1,41,2.27,28,1,4,5,3,0,4,0.22,3,0,1,0,0,0,Matches
Abdelhamid Sabiri,ma MAR,MF,Paderborn 07,22,1996,11.6,36,3.09,22,2,4,3,5,0,3,0.26,2,0,1,0,0,0,Matches
Marcel Sabitzer,at AUT,"MF,FW",RB Leipzig,25,1994,27.8,117,4.21,98,8,1,5,2,3,12,0.43,10,0,0,1,1,0,Matches
Nuri Şahin,tr TUR,MF,Werder Bremen,30,1988,13.9,51,3.67,28,20,1,0,0,2,4,0.29,2,2,0,0,0,0,Matches
Roland Sallai,hu HUN,"MF,FW",Freiburg,22,1997,12.9,42,3.26,28,0,5,2,7,0,4,0.31,2,0,0,0,2,0,Matches
Lazar Samardzic,rs SRB,"MF,FW",Hertha BSC,17,2002,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Diadie Samassékou,ml MLI,MF,Hoffenheim,23,1996,14.6,16,1.10,16,0,0,0,0,0,3,0.21,3,0,0,0,0,0,Matches
Renato Sanches,pt POR,MF,Bayern Munich,21,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jadon Sancho,eng ENG,"FW,MF",Dortmund,19,2000,25.4,128,5.04,96,13,10,6,2,1,32,1.26,26,2,2,2,0,0,Matches
Salif Sané,sn SEN,DF,Schalke 04,28,1990,12.5,5,0.40,4,0,0,0,1,0,1,0.08,1,0,0,0,0,0,Matches
Marcelo Saracchi,uy URU,DF,RB Leipzig,21,1998,2.0,4,2.01,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Josh Sargent,us USA,FW,Werder Bremen,19,2000,15.7,34,2.16,21,0,4,6,2,1,10,0.64,5,0,2,3,0,0,Matches
Louis Schaub,at AUT,MF,Köln,24,1994,6.9,30,4.33,15,5,6,0,3,1,1,0.14,1,0,0,0,0,0,Matches
Patrik Schick,cz CZE,FW,RB Leipzig,23,1996,14.4,38,2.64,22,0,6,7,3,0,4,0.28,1,0,2,1,0,0,Matches
Julian Schieber,de GER,FW,Augsburg,30,1989,0.5,2,4.29,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Kingsley Schindler,gh GHA,"FW,MF",Köln,26,1993,9.4,21,2.23,17,0,2,2,0,0,3,0.32,2,0,1,0,0,0,Matches
Xaver Schlager,at AUT,MF,Wolfsburg,21,1997,19.1,40,2.09,30,0,4,2,3,1,4,0.21,4,0,0,0,0,0,Matches
Keven Schlotterbeck,de GER,DF,Union Berlin,22,1997,21.5,8,0.37,4,1,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Nico Schlotterbeck,de GER,DF,Freiburg,19,1999,4.1,6,1.45,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Marcel Schmelzer,de GER,DF,Dortmund,31,1988,0.7,3,4.09,3,0,0,0,0,0,1,1.36,1,0,0,0,0,0,Matches
Jonathan Schmid,fr FRA,DF,Freiburg,29,1990,31.5,81,2.57,52,13,2,6,8,0,3,0.10,1,0,0,2,0,0,Matches
Manuel Schmiedebach,de GER,MF,Union Berlin,30,1988,2.0,2,1.01,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Benno Schmitz,de GER,DF,Köln,24,1994,12.9,28,2.17,27,1,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
Sebastian Schonlau,de GER,DF,Paderborn 07,24,1994,23.0,22,0.96,16,0,0,2,2,2,1,0.04,1,0,0,0,0,0,Matches
Alessandro Schöpf,at AUT,MF,Schalke 04,25,1994,15.9,34,2.14,25,2,3,0,3,1,3,0.19,1,1,0,0,1,0,Matches
Markus Schubert,de GER,GK,Schalke 04,21,1998,8.2,4,0.49,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nico Schulz,de GER,"DF,MF",Dortmund,26,1993,6.6,11,1.67,6,1,2,1,0,1,2,0.30,2,0,0,0,0,0,Matches
Alexander Schwolow,de GER,GK,Freiburg,27,1992,23.2,2,0.09,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Davie Selke,de GER,FW,Hertha BSC,24,1995,10.7,18,1.69,8,0,0,1,9,0,1,0.09,1,0,0,0,0,0,Matches
Davie Selke,de GER,FW,Werder Bremen,24,1995,5.1,8,1.56,6,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Suat Serdar,de GER,MF,Schalke 04,22,1997,17.8,35,1.97,25,0,4,1,3,2,3,0.17,3,0,0,0,0,0,Matches
Khiry Shelton,us USA,FW,Paderborn 07,26,1993,0.4,2,5.45,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
André Silva,pt POR,FW,Eint Frankfurt,23,1995,17.5,62,3.54,47,0,6,3,5,1,5,0.29,2,0,1,1,1,0,Matches
Sarpreet Singh,nz NZL,"FW,MF",Bayern Munich,20,1999,0.8,2,2.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Daley Sinkgraven,nl NED,"DF,MF",Leverkusen,24,1995,10.1,18,1.78,16,1,1,0,0,0,1,0.10,1,0,0,0,0,0,Matches
Ellyes Skhiri,tn TUN,MF,Köln,24,1995,29.7,62,2.09,49,0,3,5,0,5,10,0.34,7,0,1,2,0,0,Matches
Robert Skov,dk DEN,"DF,FW",Hoffenheim,23,1996,29.0,98,3.38,45,32,8,7,5,1,10,0.35,4,1,1,3,0,1,Matches
Steven Skrzybski,de GER,"FW,MF",Düsseldorf,26,1992,5.9,12,2.04,8,0,0,0,2,2,2,0.34,2,0,0,0,0,0,Matches
Dennis Smarsch,de GER,GK,Hertha BSC,20,1999,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
