player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Leonardo Bonucci,it ITA,DF,Union Berlin,36-240,1987,5.1,190,248,76.6,4063,1911,51,58,87.9,105,118,89.0,31,67,46.3,0,0.3,0.1,-0.3,2,17,2,1,21,Matches
Yvandro Borges Sanches,lu LUX,"MF,FW",M'Gladbach,19-217,2004,0.2,7,11,63.6,127,10,4,5,80.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24-280,1999,5.4,256,289,88.6,4980,1656,77,84,91.7,156,166,94.0,23,37,62.2,0,0.0,0.1,0.0,0,10,0,0,14,Matches
Rafael Borré,co COL,FW,Werder Bremen,28-103,1995,9.2,194,255,76.1,3021,592,117,140,83.6,60,75,80.0,11,17,64.7,0,1.7,1.9,-1.7,12,16,7,3,23,Matches
Julian Brandt,de GER,"MF,FW",Dortmund,27-239,1996,13.5,518,670,77.3,8757,2300,252,293,86.0,169,207,81.6,71,117,60.7,7,6.5,4.9,+0.5,48,28,18,7,54,Matches
Tim Breithaupt,de GER,MF,Augsburg,21-323,2002,2.9,76,99,76.8,1148,302,37,47,78.7,35,39,89.7,2,7,28.6,0,0.0,0.1,0.0,1,5,1,0,3,Matches
Maximilian Breunig,de GER,FW,Freiburg,23-135,2000,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
John Brooks,us USA,DF,Hoffenheim,30-333,1993,12.0,482,583,82.7,10069,4178,139,152,91.4,267,301,88.7,71,115,61.7,0,0.1,0.2,-0.1,2,37,2,1,39,Matches
Moritz Broschinski,de GER,"FW,MF",Bochum,23-095,2000,3.4,25,40,62.5,370,88,16,23,69.6,7,10,70.0,2,4,50.0,0,0.1,0.1,-0.1,3,3,3,1,4,Matches
Alexander Brunst,de GER,GK,Darmstadt 98,28-173,1995,1.0,22,47,46.8,904,772,1,1,100.0,9,9,100.0,12,37,32.4,0,0.0,0.0,0.0,0,3,0,0,0,Matches
Marius Bülter,de GER,"DF,FW",Hoffenheim,30-273,1993,8.7,268,389,68.9,4780,1660,121,142,85.2,115,159,72.3,28,62,45.2,3,2.2,2.9,+0.8,13,20,12,8,29,Matches
Jonathan Burkardt,de GER,"MF,FW",Mainz 05,23-169,2000,2.1,30,50,60.0,452,116,17,23,73.9,10,18,55.6,2,3,66.7,0,0.0,0.0,0.0,0,2,1,0,6,Matches
Oliver Burke,sct SCO,FW,Werder Bremen,26-264,1997,0.4,6,12,50.0,98,18,2,4,50.0,4,6,66.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Marnon Busch,de GER,DF,Heidenheim,29-019,1994,3.2,138,199,69.3,2730,1080,55,64,85.9,61,84,72.6,20,39,51.3,0,0.2,0.4,-0.2,4,18,6,2,18,Matches
Aurélio Buta,pt POR,"DF,MF",Eint Frankfurt,26-320,1997,10.5,474,599,79.1,6805,2346,273,319,85.6,159,196,81.1,22,43,51.2,1,0.7,1.3,+0.3,7,35,22,4,48,Matches
Jamie Bynoe-Gittens,eng ENG,"FW,DF",Dortmund,19-141,2004,4.4,106,142,74.6,1474,268,69,83,83.1,33,38,86.8,4,10,40.0,1,0.6,0.6,+0.4,6,4,9,0,11,Matches
Anthony Caci,fr FRA,DF,Mainz 05,26-179,1997,12.8,479,675,71.0,9564,3837,188,231,81.4,207,268,77.2,79,147,53.7,0,0.5,0.9,-0.5,5,38,16,4,58,Matches
Emre Can,de GER,MF,Dortmund,29-349,1994,10.6,580,678,85.5,10656,3231,232,262,88.5,282,309,91.3,58,84,69.0,2,1.3,0.7,+0.7,14,61,2,0,61,Matches
Irvin Cardona,fr FRA,"MF,DF",Augsburg,26-141,1997,0.6,8,15,53.3,132,70,4,4,100.0,4,9,44.4,0,1,0.0,0,0.0,0.1,0.0,0,1,0,0,2,Matches
Rasmus Carstensen,dk DEN,"DF,FW",Köln,23-077,2000,11.7,384,552,69.6,5638,2157,216,261,82.8,153,205,74.6,8,38,21.1,0,1.1,2.2,-1.1,10,13,13,6,37,Matches
Fabio Carvalho,pt POR,MF,RB Leipzig,21-119,2002,1.8,72,92,78.3,855,219,54,60,90.0,14,21,66.7,2,5,40.0,0,0.2,0.2,-0.2,2,6,6,1,9,Matches
Koen Casteels,be BEL,GK,Wolfsburg,31-185,1992,13.0,371,486,76.3,11210,7907,52,52,100.0,175,178,98.3,143,254,56.3,0,0.2,0.0,-0.2,1,12,0,0,1,Matches
Václav Černý,cz CZE,"FW,MF",Wolfsburg,26-071,1997,6.1,142,207,68.6,2007,728,88,103,85.4,37,62,59.7,8,22,36.4,1,0.5,1.5,+0.5,9,14,14,1,21,Matches
Julian Chabot,de GER,DF,Köln,25-318,1998,13.4,679,790,85.9,12488,4516,263,288,91.3,353,383,92.2,57,105,54.3,0,0.1,0.2,-0.1,2,31,1,1,32,Matches
Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,21-029,2002,10.4,277,434,63.8,4194,1217,162,203,79.8,84,127,66.1,20,63,31.7,2,2.8,2.2,-0.8,18,32,12,2,41,Matches
Fabio Chiarodia,it ITA,"DF,MF",M'Gladbach,18-205,2005,0.7,23,31,74.2,389,193,11,14,78.6,10,12,83.3,2,5,40.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
Kingsley Coman,fr FRA,FW,Bayern Munich,27-197,1996,9.3,354,438,80.8,5565,1065,185,218,84.9,142,158,89.9,18,32,56.3,3,3.6,3.7,-0.6,24,11,26,7,43,Matches
Bambasé Conté,de GER,"FW,MF",Hoffenheim,20-173,2003,0.0,8,10,80.0,98,18,5,5,100.0,3,4,75.0,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Danny da Costa,de GER,DF,Mainz 05,30-167,1993,8.1,272,408,66.7,4702,2106,127,156,81.4,107,164,65.2,30,60,50.0,1,0.7,1.0,+0.3,8,23,12,6,38,Matches
Nicolas Cozza,fr FRA,DF,Wolfsburg,24-353,1999,2.4,127,164,77.4,2013,689,68,77,88.3,52,67,77.6,6,15,40.0,0,0.1,0.2,-0.1,2,15,2,2,14,Matches
Tomáš Čvančara,cz CZE,FW,M'Gladbach,23-136,2000,7.1,99,144,68.8,1248,295,66,90,73.3,29,36,80.6,2,2,100.0,1,0.7,0.7,+0.3,5,5,2,0,10,Matches
Finn Dahmen,de GER,GK,Augsburg,25-275,1998,16.0,563,736,76.5,15110,9631,98,99,99.0,314,320,98.1,150,313,47.9,0,0.0,0.2,0.0,0,27,1,0,2,Matches
Lukas Daschner,de GER,"MF,FW",Bochum,25-087,1998,3.4,61,98,62.2,832,271,31,42,73.8,22,33,66.7,2,9,22.2,1,0.8,0.9,+0.2,6,3,4,1,10,Matches
David Datro Fofana,ci CIV,"FW,MF",Union Berlin,21-005,2002,7.6,106,152,69.7,1536,346,65,83,78.3,25,39,64.1,9,10,90.0,0,0.3,0.3,-0.3,5,5,8,2,14,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,23-055,2000,12.1,770,872,88.3,11120,2852,461,508,90.7,276,298,92.6,15,29,51.7,3,1.5,1.9,+1.5,21,44,21,5,62,Matches
Olivier Deman,be BEL,DF,Werder Bremen,23-265,2000,9.2,344,452,76.1,6208,1919,149,167,89.2,150,185,81.1,40,74,54.1,1,0.5,0.7,+0.5,8,21,7,4,27,Matches
Ermedin Demirović,ba BIH,"MF,FW",Augsburg,25-277,1998,15.4,178,294,60.5,2376,583,104,152,68.4,51,73,69.9,8,12,66.7,5,2.0,2.2,+3.0,15,22,7,1,26,Matches
Sepp van den Berg,nl NED,DF,Mainz 05,22-007,2001,13.5,609,759,80.2,11287,3841,212,241,88.0,334,401,83.3,53,91,58.2,0,0.0,0.1,0.0,1,54,1,0,57,Matches
Florian Dietz,de GER,FW,Köln,25-146,1998,0.5,9,13,69.2,95,11,9,9,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,23-036,2000,10.6,357,463,77.1,5755,1664,183,212,86.3,137,173,79.2,26,36,72.2,1,1.6,1.6,-0.6,11,39,4,1,45,Matches
Eren Dinkçi,de GER,"FW,MF",Heidenheim,22-014,2001,13.4,219,358,61.2,3575,1181,109,153,71.2,82,115,71.3,20,40,50.0,0,1.3,1.6,-1.3,17,26,13,3,45,Matches
Ritsu Doan,jp JPN,"MF,FW",Freiburg,25-194,1998,11.8,224,323,69.3,3203,1125,148,176,84.1,59,89,66.3,13,35,37.1,0,0.9,1.3,-0.9,14,25,5,1,29,Matches
Danilho Doekhi,nl NED,DF,Union Berlin,25-180,1998,8.0,292,350,83.4,5787,2487,95,102,93.1,157,178,88.2,35,60,58.3,0,0.1,0.3,-0.1,1,39,6,1,31,Matches
Niklas Dorsch,de GER,MF,Augsburg,25-346,1998,11.7,423,487,86.9,7615,1859,176,190,92.6,205,222,92.3,37,61,60.7,0,0.0,0.2,0.0,1,33,1,1,36,Matches
Nikola Dovedan,at AUT,"MF,FW",Heidenheim,29-174,1994,2.7,41,68,60.3,715,250,17,20,85.0,19,26,73.1,2,10,20.0,0,0.1,0.3,-0.1,3,3,2,0,10,Matches
Damion Downs,de GER,"FW,MF",Köln,19-174,2004,0.3,7,10,70.0,66,10,4,5,80.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Dion Drena Beljo,hr CRO,"FW,MF",Augsburg,21-301,2002,4.3,79,110,71.8,1178,220,37,50,74.0,32,42,76.2,3,4,75.0,0,0.3,0.6,-0.3,4,4,6,1,10,Matches
Marvin Ducksch,de GER,FW,Werder Bremen,29-295,1994,14.1,261,454,57.5,4481,1406,125,172,72.7,96,154,62.3,32,91,35.2,4,3.6,2.4,+0.4,26,15,11,0,44,Matches
Maximilian Eggestein,de GER,MF,Freiburg,27-019,1996,15.5,516,645,80.0,8478,2403,248,285,87.0,228,256,89.1,33,50,66.0,0,0.9,0.8,-0.9,8,46,9,0,83,Matches
Lilian Egloff,de GER,"MF,DF",Stuttgart,21-129,2002,1.2,32,41,78.0,481,131,16,17,94.1,11,15,73.3,2,4,50.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
Nico Elvedi,ch SUI,DF,M'Gladbach,27-088,1996,11.9,671,766,87.6,11856,3590,265,290,91.4,363,391,92.8,37,66,56.1,1,0.1,0.2,+0.9,3,39,1,1,47,Matches
Arne Engels,be BEL,"MF,DF",Augsburg,20-110,2003,7.6,186,288,64.6,3340,1285,85,101,84.2,75,106,70.8,21,59,35.6,0,0.7,1.1,-0.7,12,14,9,2,17,Matches
Ohis Felix Uduokhai,de GER,DF,Augsburg,26-109,1997,14.5,629,769,81.8,11507,4200,246,273,90.1,321,358,89.7,54,118,45.8,0,0.3,0.6,-0.3,3,28,2,0,43,Matches
Edimilson Fernandes,ch SUI,DF,Mainz 05,27-256,1996,9.7,437,570,76.7,9248,3861,152,172,88.4,209,231,90.5,72,152,47.4,2,0.7,1.7,+1.3,15,42,10,3,39,Matches
Nacho Ferri,es ESP,"FW,MF",Eint Frankfurt,19-083,2004,0.6,8,15,53.3,89,37,7,9,77.8,1,4,25.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Max Finkgräfe,de GER,"DF,MF",Köln,19-275,2004,3.1,91,130,70.0,1305,351,54,69,78.3,33,42,78.6,2,9,22.2,0,0.3,0.2,-0.3,5,5,2,1,5,Matches
Jonas Föhrenbach,de GER,DF,Heidenheim,27-335,1996,14.1,467,654,71.4,9016,3909,176,215,81.9,228,287,79.4,58,117,49.6,0,0.4,0.5,-0.4,9,27,10,5,39,Matches
Emil Forsberg,se SWE,"MF,FW",RB Leipzig,32-065,1991,5.2,163,199,81.9,2572,551,95,107,88.8,54,60,90.0,12,17,70.6,1,0.9,0.4,+0.1,6,14,3,0,22,Matches
Philipp Förster,de GER,"MF,FW",Bochum,28-326,1995,2.4,84,111,75.7,1439,480,42,52,80.8,27,40,67.5,12,14,85.7,0,0.3,0.5,-0.3,5,7,5,3,14,Matches
Bartol Franjić,hr CRO,MF,Darmstadt 98,23-347,2000,6.0,240,275,87.3,4308,891,97,110,88.2,120,129,93.0,19,28,67.9,1,0.2,0.3,+0.8,1,23,2,1,23,Matches
Marco Friedl,at AUT,DF,Werder Bremen,25-286,1998,11.4,484,563,86.0,10144,3235,123,132,93.2,295,315,93.7,64,105,61.0,0,0.0,0.2,0.0,0,25,3,1,30,Matches
Marvin Friedrich,de GER,DF,M'Gladbach,28-014,1995,5.4,264,320,82.5,4487,1685,109,115,94.8,142,158,89.9,10,41,24.4,0,0.1,0.1,-0.1,3,10,0,0,13,Matches
Jeremie Frimpong,nl NED,DF,Leverkusen,23-017,2000,14.6,448,590,75.9,6134,1346,301,345,87.2,119,168,70.8,17,30,56.7,6,3.6,3.1,+2.4,28,15,20,5,28,Matches
Chris Führich,de GER,"FW,MF",Stuttgart,25-352,1998,13.9,532,654,81.3,7269,1949,323,355,91.0,147,183,80.3,26,57,45.6,5,4.9,4.1,+0.1,30,28,25,4,56,Matches
Niclas Füllkrug,de GER,FW,Werder Bremen,30-321,1993,2.0,48,66,72.7,799,274,27,33,81.8,15,22,68.2,6,7,85.7,0,0.3,0.4,-0.3,2,7,2,0,9,Matches
Niclas Füllkrug,de GER,FW,Dortmund,30-321,1993,11.2,163,261,62.5,2038,469,103,153,67.3,34,52,65.4,9,14,64.3,5,2.3,1.9,+2.7,17,13,6,0,19,Matches
Cristian Gamboa,cr CRC,DF,Bochum,34-064,1989,10.5,278,380,73.2,5092,1975,119,138,86.2,120,152,78.9,33,75,44.0,1,0.3,0.7,+0.7,7,23,10,5,27,Matches
Yannick Gerhardt,de GER,"MF,FW",Wolfsburg,29-289,1994,7.7,190,253,75.1,2791,637,91,112,81.3,73,96,76.0,8,13,61.5,0,0.1,0.6,-0.1,4,14,2,1,13,Matches
Anwar El Ghazi,nl NED,"MF,DF",Mainz 05,28-238,1995,0.6,15,22,68.2,203,47,9,12,75.0,3,6,50.0,1,1,100.0,1,0.2,0.0,+0.8,2,1,0,0,4,Matches
Benedikt Gimber,de GER,DF,Heidenheim,26-311,1997,6.7,171,218,78.4,3567,942,43,51,84.3,104,121,86.0,24,40,60.0,1,0.3,0.3,+0.7,1,3,0,0,6,Matches
Matthias Ginter,de GER,DF,Freiburg,29-342,1994,14.3,732,883,82.9,13925,4776,237,264,89.8,439,493,89.0,54,114,47.4,2,1.1,1.2,+0.9,4,61,8,2,100,Matches
Klaus Gjasula,al ALB,"DF,MF",Darmstadt 98,34-013,1989,7.0,329,400,82.3,6707,3142,108,120,90.0,163,190,85.8,51,79,64.6,0,0.1,0.5,-0.1,3,35,7,2,39,Matches
Serge Gnabry,de GER,"FW,MF",Bayern Munich,28-166,1995,2.5,84,97,86.6,1176,230,53,56,94.6,23,27,85.2,4,5,80.0,0,0.5,0.7,-0.5,5,5,4,0,10,Matches
Leon Goretzka,de GER,MF,Bayern Munich,28-324,1995,9.2,496,558,88.9,7710,1969,261,285,91.6,196,215,91.2,28,36,77.8,1,1.3,2.1,-0.3,7,56,13,0,55,Matches
Robin Gosens,de GER,"DF,MF",Union Berlin,29-175,1994,10.6,381,513,74.3,6221,2653,196,235,83.4,146,189,77.2,33,62,53.2,0,1.3,1.2,-1.3,12,40,13,10,46,Matches
Mario Götze,de GER,"MF,FW",Eint Frankfurt,31-207,1992,8.7,360,474,75.9,5531,1600,200,233,85.8,121,157,77.1,26,49,53.1,1,1.4,1.4,-0.4,13,33,18,2,46,Matches
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,32-170,1991,12.0,515,657,78.4,11140,4805,144,158,91.1,285,324,88.0,83,157,52.9,0,0.6,0.5,-0.6,4,64,7,0,61,Matches
Jens Grahl,de GER,GK,Eint Frankfurt,35-096,1988,1.0,26,45,57.8,643,449,6,6,100.0,16,16,100.0,4,23,17.4,1,0.2,0.0,+0.8,1,2,0,0,0,Matches
Ryan Gravenberch,nl NED,FW,Bayern Munich,21-225,2002,0.1,5,7,71.4,83,25,2,2,100.0,3,3,100.0,0,0,,0,0.2,0.1,-0.2,2,0,0,0,1,Matches
Michael Gregoritsch,at AUT,FW,Freiburg,29-253,1994,6.4,82,139,59.0,1201,281,52,82,63.4,25,38,65.8,3,5,60.0,1,0.5,0.5,+0.5,7,3,8,2,15,Matches
Vincenzo Grifo,it ITA,"MF,FW",Freiburg,30-264,1993,12.2,444,637,69.7,7948,2421,204,252,81.0,168,223,75.3,59,128,46.1,5,3.7,3.2,+1.3,30,41,15,5,44,Matches
Florian Grillitsch,at AUT,MF,Hoffenheim,28-142,1995,8.6,393,473,83.1,7370,2570,159,183,86.9,186,214,86.9,43,59,72.9,1,0.5,0.7,+0.5,6,56,11,2,54,Matches
Álex Grimaldo,es ESP,DF,Leverkusen,28-098,1995,15.9,858,1036,82.8,11800,3113,556,593,93.8,236,288,81.9,35,81,43.2,5,2.8,3.4,+2.2,27,39,30,5,68,Matches
Christian Groß,de GER,"MF,DF",Werder Bremen,34-322,1989,5.1,205,251,81.7,3668,1362,69,85,81.2,126,143,88.1,8,16,50.0,1,0.2,0.2,+0.8,5,18,2,1,23,Matches
Brajan Gruda,de GER,"MF,FW",Mainz 05,19-210,2004,8.9,206,332,62.0,3419,1172,97,126,77.0,83,126,65.9,19,58,32.8,1,1.6,1.9,-0.6,24,21,15,1,36,Matches
Ilia Gruev,bg BUL,MF,Werder Bremen,23-235,2000,0.0,1,1,100.0,13,14,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Raphaël Guerreiro,pt POR,"MF,DF",Bayern Munich,30-005,1993,3.3,162,189,85.7,2163,621,110,117,94.0,41,48,85.4,6,12,50.0,0,0.0,0.4,0.0,0,7,4,1,14,Matches
