ID,Name,Born,Position,Value,Squad,Zustand,Stats,Einsätze,Spieltagspunkte,Punkteschnitt,Punktetotal
1222,Leroy Sané,1996,Mittelfeldspieler," 0,12 ⌀ (1) ",FC Bayern München,Fit,"{'Passquote': '78,3%', 'Zweikampfquote': '47,1%', 'Luftkämpfe': '50,0%', 'Tacklingquote': '37,5%', 'Begangene Fouls': '1,12', 'Geklärte Bälle': '0,12', 'Abgefangene Bälle': '0,12', 'Balleroberungen': '0,37', 'Ballverluste': '5,21', 'Erfolgreiche Dribblings': '55,4%', 'Torschussvorlagen': '2,36', 'Kreierte Großchancen': '0,12', 'Schüsse aufs Tor': '2,23', 'Schussgenauigkeit': '75,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,12'}",3,240,"239,00",717
1961,Serge Gnabry,1995,Mittelfeldspieler, 0 ⌀  ,FC Bayern München,Fit,"{'Passquote': '86,7%', 'Zweikampfquote': '28,6%', 'Luftkämpfe': '66,7%', 'Tacklingquote': '16,7%', 'Begangene Fouls': '2,11', 'Geklärte Bälle': '1,05', 'Abgefangene Bälle': '0', 'Balleroberungen': '0,53', 'Ballverluste': '3,16', 'Erfolgreiche Dribblings': '33,3%', 'Torschussvorlagen': '2,11', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '3,68', 'Schussgenauigkeit': '70,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",2,71,"97,00",194
336,Eric-Maxim Choupo-Moting,1989,Stürmer, 0 ⌀  ,FC Bayern München,Fit,"{'Passquote': '83,7%', 'Zweikampfquote': '50,0%', 'Luftkämpfe': '70,0%', 'Tacklingquote': '50,0%', 'Begangene Fouls': '1,72', 'Geklärte Bälle': '0', 'Abgefangene Bälle': '0,57', 'Balleroberungen': '1,15', 'Ballverluste': '6,31', 'Erfolgreiche Dribblings': '42,9%', 'Torschussvorlagen': '0,57', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '2,87', 'Schussgenauigkeit': '100,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",0,0,0,0
7226,Harry Kane,1993,Stürmer, 0 ⌀  ,FC Bayern München,Fit,"{'Passquote': '70,2%', 'Zweikampfquote': '42,7%', 'Luftkämpfe': '32,0%', 'Tacklingquote': '37,5%', 'Begangene Fouls': '0,25', 'Geklärte Bälle': '0,88', 'Abgefangene Bälle': '0,25', 'Balleroberungen': '0,38', 'Ballverluste': '2,63', 'Erfolgreiche Dribblings': '50,0%', 'Torschussvorlagen': '1', 'Kreierte Großchancen': '0,5', 'Schüsse aufs Tor': '2,63', 'Schussgenauigkeit': '72,4%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",3,72,"204,00",612
4314,Mathys Tel,2005,Stürmer, 0 ⌀  ,FC Bayern München,Fit,"{'Passquote': '82,2%', 'Zweikampfquote': '45,8%', 'Luftkämpfe': '0,0%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '1,3', 'Geklärte Bälle': '0,43', 'Abgefangene Bälle': '0,87', 'Balleroberungen': '0', 'Ballverluste': '3,89', 'Erfolgreiche Dribblings': '72,7%', 'Torschussvorlagen': '0,43', 'Kreierte Großchancen': '0,43', 'Schüsse aufs Tor': '3,89', 'Schussgenauigkeit': '90,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",3,139,"102,00",306
1873,Gregor Kobel,1997,Torhüter, 0 ⌀  ,Borussia Dortmund,Fit,"{'Abgewehrte Schüsse': '75,0%', 'Paraden': '2,1', 'Weiße Weste': '3', 'Strafraum-beherrschung': '100,0%', 'Abgewehrte Elfmeter': '0,0%', 'Großchancen vereitelt': '55,6%', 'Fehler vor Schuss/Gegentor': '0'}",3,98,"124,00",372
2148,Alexander Meyer,1991,Torhüter, 0 ⌀  ,Borussia Dortmund,Fit,"{'Abgewehrte Schüsse': '0,0%', 'Paraden': '0', 'Weiße Weste': '0', 'Strafraum-beherrschung': '0,0%', 'Abgewehrte Elfmeter': '0,0%', 'Großchancen vereitelt': '0,0%', 'Fehler vor Schuss/Gegentor': '0'}",0,0,0,0
2979,Marcel Lotka,2001,Torhüter, 0 ⌀  ,Borussia Dortmund,Fit,"{'Abgewehrte Schüsse': '0,0%', 'Paraden': '0', 'Weiße Weste': '0', 'Strafraum-beherrschung': '0,0%', 'Abgewehrte Elfmeter': '0,0%', 'Großchancen vereitelt': '0,0%', 'Fehler vor Schuss/Gegentor': '0'}",0,0,0,0
0,Silas Ostrzinski,2003,Torhüter, 0 ⌀  ,Borussia Dortmund,Verletzung,"{'Abgewehrte Schüsse': '0,0%', 'Paraden': '0', 'Weiße Weste': '0', 'Strafraum-beherrschung': '0,0%', 'Abgewehrte Elfmeter': '0,0%', 'Großchancen vereitelt': '0,0%', 'Fehler vor Schuss/Gegentor': '0'}",0,0,0,0
304,Mats Hummels,1988,Abwehrspieler," 0,3 ⌀ (2) ",Borussia Dortmund,Fit,"{'Passquote': '89,6%', 'Zweikampfquote': '59,3%', 'Luftkämpfe': '66,7%', 'Tacklingquote': '42,9%', 'Begangene Fouls': '0,6', 'Geklärte Bälle': '4,07', 'Abgefangene Bälle': '1,96', 'Balleroberungen': '1,36', 'Ballverluste': '0,45', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0,15', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0,45', 'Schussgenauigkeit': '42,9%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,3'}",2,,"120,00",240
163,Niklas Süle,1995,Abwehrspieler," 1,24 ⌀ (4) ",Borussia Dortmund,Fit,"{'Passquote': '92,8%', 'Zweikampfquote': '75,0%', 'Luftkämpfe': '66,7%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '0', 'Geklärte Bälle': '2,78', 'Abgefangene Bälle': '0,93', 'Balleroberungen': '0', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0,31', 'Schussgenauigkeit': '100,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '1,24'}",3,92,"96,67",290
2383,Nico Schlotterbeck,1999,Abwehrspieler," 0,27 ⌀ (2) ",Borussia Dortmund,Fit,"{'Passquote': '86,8%', 'Zweikampfquote': '60,3%', 'Luftkämpfe': '62,5%', 'Tacklingquote': '50,0%', 'Begangene Fouls': '0,53', 'Geklärte Bälle': '3,33', 'Abgefangene Bälle': '0,93', 'Balleroberungen': '0,93', 'Ballverluste': '0,67', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0,27', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0,53', 'Schussgenauigkeit': '50,0%', 'Fehler vor Schuss/Gegentor': '0,27', 'Geblockte Bälle': '0,27'}",2,111,"87,00",174
3050,Antonios Papadopoulos,1999,Abwehrspieler, 0 ⌀  ,Borussia Dortmund,Fit,"{'Passquote': '0,0%', 'Zweikampfquote': '0,0%', 'Luftkämpfe': '0,0%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '0', 'Geklärte Bälle': '0', 'Abgefangene Bälle': '0', 'Balleroberungen': '0', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",0,0,0,0
2736,Ramy Bensebaini,1995,Abwehrspieler," 1,88 ⌀ (11) ",Borussia Dortmund,Fit,"{'Passquote': '84,5%', 'Zweikampfquote': '60,9%', 'Luftkämpfe': '35,7%', 'Tacklingquote': '55,0%', 'Begangene Fouls': '1,88', 'Geklärte Bälle': '1,71', 'Abgefangene Bälle': '1,2', 'Balleroberungen': '1,88', 'Ballverluste': '0,34', 'Erfolgreiche Dribblings': '85,7%', 'Torschussvorlagen': '0,68', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0,17', 'Schussgenauigkeit': '12,5%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '1,88'}",3,47,"94,33",283
0,Guille Bueno,2002,Abwehrspieler, 0 ⌀  ,Borussia Dortmund,Fit,"{'Passquote': '0,0%', 'Zweikampfquote': '0,0%', 'Luftkämpfe': '0,0%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '0', 'Geklärte Bälle': '0', 'Abgefangene Bälle': '0', 'Balleroberungen': '0', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",0,0,0,0
2835,Thomas Meunier,1991,Abwehrspieler, 0 ⌀  ,Borussia Dortmund,Fit,"{'Passquote': '0,0%', 'Zweikampfquote': '0,0%', 'Luftkämpfe': '0,0%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '0', 'Geklärte Bälle': '0', 'Abgefangene Bälle': '0', 'Balleroberungen': '0', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",0,0,0,0
