player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23-273,2000,5.9,10,8,2,7,1,4,9,44.4,5,9,3,6,6,16,6,0,Matches
Maximilian Bauer,de GER,DF,Augsburg,23-236,2000,4.2,6,4,4,2,0,1,7,14.3,6,5,4,1,6,12,17,1,Matches
Oliver Baumann,de GER,GK,Hoffenheim,33-123,1990,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,24-063,1999,0.9,1,1,1,0,0,0,1,0.0,1,3,0,3,0,1,1,0,Matches
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,29-163,1994,4.1,8,5,4,2,2,3,5,60.0,2,3,0,3,4,12,3,0,Matches
Adrian Beck,de GER,MF,Heidenheim,26-116,1997,1.7,3,2,0,2,1,2,2,100.0,0,1,0,1,1,4,1,0,Matches
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,28-236,1995,2.8,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,2,0,Matches
Kevin Behrens,de GER,FW,Union Berlin,32-242,1991,5.6,5,4,2,2,1,1,1,100.0,0,3,1,2,2,7,8,0,Matches
Maximilian Beier,de GER,FW,Hoffenheim,20-351,2002,3.6,0,0,0,0,0,0,4,0.0,4,2,0,2,0,0,4,0,Matches
Stefan Bell,de GER,DF,Mainz 05,32-040,1991,4.1,4,4,3,1,0,2,4,50.0,2,0,0,0,5,9,17,0,Matches
Ramy Bensebaini,dz ALG,DF,Dortmund,28-170,1995,5.2,15,11,10,4,1,11,16,68.8,5,9,5,4,7,22,15,0,Matches
Mergim Berisha,de GER,FW,Hoffenheim,25-145,1998,1.3,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0,Matches
Mergim Berisha,de GER,FW,Augsburg,25-145,1998,1.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,Matches
Bernardo,br BRA,DF,Bochum,28-142,1995,6.0,22,13,17,4,1,13,18,72.2,5,16,5,11,10,32,24,1,Matches
Matúš Bero,sk SVK,MF,Bochum,28-027,1995,4.0,8,5,4,2,2,4,7,57.1,3,2,0,2,1,9,3,0,Matches
Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,24-272,1999,4.8,9,5,3,3,3,2,8,25.0,6,7,0,7,3,12,4,0,Matches
Tom Bischof,de GER,"FW,DF",Hoffenheim,18-097,2005,0.3,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,Matches
Leonardo Bittencourt,de GER,"MF,FW",Werder Bremen,29-288,1993,1.1,4,2,2,2,0,1,5,20.0,4,2,0,2,0,4,0,0,Matches
Janis Blaswich,de GER,GK,RB Leipzig,32-154,1991,6.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,2,0,Matches
Victor Boniface,ng NGA,FW,Leverkusen,22-284,2000,5.7,2,2,0,1,1,0,0,,0,0,0,0,0,2,2,0,Matches
Leonardo Bonucci,it ITA,DF,Union Berlin,36-155,1987,1.7,0,0,0,0,0,0,0,,0,1,1,0,3,3,4,0,Matches
Yvandro Borges Sanches,lu LUX,"MF,FW",M'Gladbach,19-132,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24-195,1999,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
Rafael Borré,co COL,FW,Werder Bremen,28-018,1995,1.5,1,1,0,0,1,0,2,0.0,2,0,0,0,1,2,1,0,Matches
Julian Brandt,de GER,"MF,FW",Dortmund,27-154,1996,5.5,2,2,1,1,0,0,4,0.0,4,5,0,5,1,3,2,0,Matches
Tim Breithaupt,de GER,MF,Augsburg,21-238,2002,1.5,3,2,3,0,0,3,3,100.0,0,1,0,1,1,4,4,0,Matches
