index,ID,Name,Born,Position,Value,Squad,Zustand,Einsätze,Spieltagspunkte,Punkteschnitt,Punktetotal,nationality,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_goals_against,gk_pens_allowed,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_passes_pct_launched,gk_pct_passes_launched,gk_passes_length_avg,gk_pct_goal_kicks_launched,gk_crosses_stopped_pct,gk_avg_distance_def_actions,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,npxg_per_shot,xg_net,npxg_net,passes_pct,passes_pct_short,passes_pct_medium,passes_pct_long,xg_assist_net,sca_per90,gca_per90,challenges,challenge_tackles_pct,blocks,blocked_shots,interceptions,clearances,errors,take_ons_won_pct,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received
708,1920,Serhou Guirassy,1996,Stürmer,28.861.670,VfB Stuttgart,Fit,3,284.0,"214,33",643,gn GUI,6.0,521.0,5.8,10.0,1.0,11.0,10.0,0.0,0.0,4.9,4.9,2.0,6.9,11.0,34.0,1.73,0.17,1.9,1.73,1.9,0.85,0.35,1.2,0.85,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,4.32,2.07,0.4,0.2,5.1,5.1,77.9,88.4,77.8,50.0,-1.0,3.63,0.69,0.0,0.0,3.0,1.0,1.0,6.0,0.0,50.0,50.0,659.0,273.0,6.0,7.0,17.0,12.0,209.0
709,7158,Deniz Undav,1996,Stürmer,9.973.738,VfB Stuttgart,Fit,0,0.0,0,0,de GER,0.0,47.0,0.5,2.0,1.0,3.0,2.0,1.0,0.0,1.3,1.3,0.5,1.9,3.0,1.0,3.83,1.91,5.74,3.83,5.74,2.52,0.95,3.47,2.52,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,9.57,7.66,0.4,0.27,0.7,0.7,68.8,75.0,100.0,0.0,0.5,3.75,1.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,131.0,87.0,1.0,1.0,2.0,2.0,21.0
710,2988,Jamie Leweling,2001,Stürmer,3.465.268,VfB Stuttgart,Angeschlagen,3,17.0,"16,00",48,de GER,1.0,116.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.5,1.2,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.55,0.42,0.97,0.55,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,2.33,1.55,0.0,0.23,-0.7,-0.7,81.4,88.0,70.0,100.0,-0.5,4.7,0.0,2.0,50.0,1.0,0.0,0.0,1.0,0.0,33.3,66.7,156.0,61.0,0.0,1.0,1.0,2.0,39.0
711,2822,Silas,1998,Stürmer,16.120.314,VfB Stuttgart,Fit,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
712,3560,Thomas Kastanaras,2003,Stürmer,500.000,VfB Stuttgart,Fit,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
713,6171,Jovan Milošević,2005,Stürmer,724.736,VfB Stuttgart,Fit,2,23.0,"19,50",39,rs SRB,0.0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,41.0,15.0,1.0,0.0,1.0,0.0,10.0
714,755,Kevin Müller,1991,Torhüter,12.342.492,1. FC Heidenheim,Fit,3,106.0,"82,33",247,de GER,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.25,1.5,45.5,39.7,37.2,51.7,4.5,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,100.0,98.9,58.3,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,675.0,388.0,0.0,0.0,1.0,0.0,128.0
715,1527,Vitus Eicher,1990,Torhüter,500.000,1. FC Heidenheim,Fit,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717,3245,Paul Tschernuth,2002,Torhüter,500.000,1. FC Heidenheim,Fit,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718,841,Patrick Mainka,1994,Abwehrspieler,10.476.050,1. FC Heidenheim,Fit,3,90.0,"80,33",241,de GER,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,1.17,0.33,0.0,0.14,-1.0,-1.0,85.1,80.0,92.6,73.5,0.0,1.5,0.0,10.0,50.0,13.0,5.0,8.0,32.0,0.0,0.0,100.0,1059.0,629.0,3.0,0.0,0.0,2.0,181.0
719,2690,Tim Siersleben,2000,Abwehrspieler,8.066.466,1. FC Heidenheim,Fit,3,54.0,"53,33",160,de GER,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.06,-0.2,-0.2,77.3,84.0,87.5,54.5,-0.2,1.0,0.17,13.0,46.2,10.0,7.0,14.0,20.0,1.0,0.0,0.0,905.0,605.0,1.0,0.0,5.0,1.0,210.0
720,3339,Thomas Keller,1999,Abwehrspieler,701.133,1. FC Heidenheim,Fit,0,0.0,0,0,de GER,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4,100.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,1.0,0.0,3.0
721,1871,Jonas Föhrenbach,1996,Abwehrspieler,5.384.898,1. FC Heidenheim,Fit,2,0.0,"34,00",68,de GER,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.04,-0.1,-0.1,71.0,86.7,79.8,44.4,-0.2,2.4,0.4,8.0,25.0,3.0,2.0,3.0,12.0,0.0,50.0,50.0,505.0,339.0,4.0,0.0,2.0,2.0,145.0
723,1622,Marnon Busch,1994,Abwehrspieler,500.000,1. FC Heidenheim,Verletzung,1,0.0,"-4,00",-4,de GER,1.0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.03,0.0,0.0,60.9,80.0,75.0,57.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,55.0,35.0,0.0,0.0,0.0,0.0,15.0
724,6134,Omar Traoré,1998,Abwehrspieler,3.917.440,1. FC Heidenheim,Fit,3,28.0,"35,33",106,de GER,5.0,508.0,5.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.02,0.0,0.0,75.4,85.6,79.0,50.0,-0.2,1.42,0.35,4.0,25.0,7.0,1.0,8.0,10.0,0.0,27.3,63.6,1011.0,593.0,12.0,0.0,7.0,0.0,147.0
725,699,Norman Theuerkauf,1987,Mittelfeldspieler,6.377.867,1. FC Heidenheim,Fit,0,0.0,0,0,de GER,4.0,320.0,3.6,0.0,1.0,1.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,1.0,5.0,0.0,0.28,0.28,0.0,0.28,0.03,0.05,0.08,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.84,0.28,0.0,0.04,-0.1,-0.1,77.2,88.2,84.4,61.5,0.8,1.69,0.28,4.0,50.0,1.0,0.0,8.0,4.0,0.0,0.0,0.0,325.0,98.0,1.0,1.0,2.0,0.0,59.0
726,1687,Benedikt Gimber,1997,Mittelfeldspieler,500.000,1. FC Heidenheim,Fit,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
727,2399,Lennard Maloney,1999,Mittelfeldspieler,5.633.504,1. FC Heidenheim,Fit,3,8.0,"16,67",50,us USA,6.0,533.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,1.01,0.34,0.0,0.05,-0.3,-0.3,73.6,72.9,86.7,45.9,-0.3,1.35,0.0,15.0,46.7,7.0,1.0,9.0,26.0,0.0,100.0,0.0,524.0,219.0,3.0,0.0,2.0,0.0,132.0
729,3249,Jan Schöppner,1999,Mittelfeldspieler,500.000,1. FC Heidenheim,Fit,1,0.0,"-2,00",-2,de GER,0.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
730,2630,Denis Thomalla,1992,Mittelfeldspieler,2.751.618,1. FC Heidenheim,Fit,3,4.0,"28,33",85,de GER,2.0,216.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.12,0.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.03,-0.1,-0.1,77.4,73.3,82.4,90.9,-0.2,1.67,0.0,7.0,57.1,1.0,0.0,1.0,5.0,0.0,100.0,0.0,201.0,125.0,2.0,0.0,0.0,0.0,63.0
731,3515,Adrian Beck,1997,Mittelfeldspieler,2.277.680,1. FC Heidenheim,Fit,2,28.0,"28,50",57,de GER,2.0,152.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.7,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.38,0.01,0.39,0.38,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.18,0.59,0.0,0.32,-0.6,-0.6,76.1,78.4,88.9,83.3,0.0,2.35,0.0,2.0,100.0,1.0,0.0,1.0,1.0,0.0,80.0,20.0,226.0,112.0,3.0,0.0,3.0,2.0,53.0
732,2439,Nikola Dovedan,1994,Mittelfeldspieler,2.205.253,1. FC Heidenheim,Fit,3,11.0,"2,33",7,at AUT,1.0,125.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.07,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.06,-0.1,-0.1,55.3,75.0,68.4,0.0,0.0,3.63,0.0,6.0,33.3,4.0,0.0,0.0,1.0,0.0,50.0,50.0,273.0,158.0,4.0,1.0,4.0,4.0,28.0
733,3344,Florian Pick,1995,Mittelfeldspieler,2.520.561,1. FC Heidenheim,Fit,2,12.0,"44,00",88,de GER,1.0,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.06,0.12,0.18,0.06,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.03,-0.1,-0.1,76.1,82.6,88.0,55.6,-0.2,3.69,0.0,2.0,100.0,1.0,0.0,1.0,0.0,0.0,50.0,41.7,398.0,160.0,1.0,2.0,5.0,2.0,60.0
734,2125,Jan-Niklas Beste,1999,Mittelfeldspieler,15.911.660,1. FC Heidenheim,Fit,2,69.0,"137,50",275,de GER,5.0,431.0,4.8,3.0,3.0,6.0,3.0,1.0,0.0,1.4,0.6,1.1,1.7,14.0,21.0,0.63,0.63,1.25,0.63,1.25,0.29,0.23,0.52,0.13,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.67,0.84,0.38,0.08,1.6,2.4,55.2,83.3,55.6,40.8,1.9,4.81,1.05,8.0,25.0,7.0,0.0,3.0,4.0,0.0,40.0,60.0,724.0,337.0,11.0,2.0,9.0,8.0,98.0
735,2551,Kevin Sessa,2000,Mittelfeldspieler,816.837,1. FC Heidenheim,Angeschlagen,3,13.0,"-2,33",-7,de GER,0.0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54,0.0,0.0,0.16,-0.7,-0.7,64.1,78.6,75.0,33.3,0.0,1.38,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,164.0,84.0,1.0,0.0,1.0,0.0,31.0
736,2939,Eren Dinkçi,2001,Mittelfeldspieler,11.264.213,1. FC Heidenheim,Fit,0,0.0,0,0,de GER,6.0,474.0,5.3,4.0,0.0,4.0,4.0,2.0,0.0,0.8,0.8,1.0,1.8,19.0,26.0,0.76,0.0,0.76,0.76,0.76,0.16,0.19,0.35,0.16,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.9,1.14,0.4,0.08,3.2,3.2,58.9,68.4,78.1,47.1,-1.0,3.99,0.57,7.0,57.1,4.0,0.0,2.0,4.0,0.0,37.5,56.3,989.0,583.0,11.0,7.0,14.0,13.0,131.0
737,849,Tim Kleindienst,1995,Stürmer,14.381.266,1. FC Heidenheim,Fit,3,134.0,"70,00",210,de GER,6.0,530.0,5.9,2.0,2.0,4.0,0.0,0.0,0.0,3.8,2.2,1.0,3.2,9.0,38.0,0.34,0.34,0.68,0.0,0.34,0.64,0.17,0.81,0.37,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3,2.72,0.85,0.0,0.14,-1.8,-2.2,59.4,67.1,63.3,72.7,1.0,1.7,0.51,6.0,33.3,5.0,3.0,2.0,7.0,0.0,35.7,64.3,560.0,203.0,9.0,3.0,18.0,9.0,166.0
738,2809,Stefan Schimmer,1994,Stürmer,500.000,1. FC Heidenheim,Fit,2,0.0,"-17,00",-34,de GER,0.0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,1.0,1.0,3.0
739,3250,Christian Kühlwetter,1996,Stürmer,500.000,1. FC Heidenheim,Fit,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
