player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
Stefan Bell,de GER,DF,Mainz 05,32-124,1991,10,8,666,7.4,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,0,23,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Ramy Bensebaini,dz ALG,DF,Dortmund,28-254,1995,13,11,"1,001",11.1,0,0,0,0,0,0,4,1,1.6,1.6,0.4,2.0,16,74,59,0.00,0.00,0.00,0.00,0.00,0.14,0.03,0.18,0.14,0.18,Matches
Mergim Berisha,de GER,FW,Hoffenheim,25-229,1998,6,0,144,1.6,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,2,3,13,0.00,0.00,0.00,0.00,0.00,0.32,0.19,0.51,0.32,0.51,Matches
Mergim Berisha,de GER,FW,Augsburg,25-229,1998,2,2,122,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,1,5,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.20,0.13,0.20,Matches
Bernardo,br BRA,DF,Bochum,28-226,1995,16,16,"1,439",16.0,1,0,1,1,0,0,3,0,1.1,1.1,0.2,1.4,13,40,18,0.06,0.00,0.06,0.06,0.06,0.07,0.01,0.09,0.07,0.09,Matches
Matúš Bero,sk SVK,"MF,FW",Bochum,28-111,1995,9,8,580,6.4,0,0,0,0,0,0,3,0,0.7,0.7,0.5,1.2,3,10,29,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.18,0.10,0.18,Matches
Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,24-356,1999,14,14,"1,173",13.0,5,7,12,5,0,1,4,0,2.2,1.4,3.0,4.4,29,23,54,0.38,0.54,0.92,0.38,0.92,0.17,0.23,0.40,0.11,0.34,Matches
Tom Bischof,de GER,"MF,FW",Hoffenheim,18-181,2005,8,1,146,1.6,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.8,2,15,12,0.00,0.62,0.62,0.00,0.62,0.03,0.44,0.46,0.03,0.46,Matches
Leonardo Bittencourt,de GER,MF,Werder Bremen,30-007,1993,13,10,756,8.4,1,1,2,1,0,0,4,0,1.4,1.4,1.1,2.5,31,36,29,0.12,0.12,0.24,0.12,0.24,0.16,0.13,0.29,0.16,0.29,Matches
Janis Blaswich,de GER,GK,RB Leipzig,32-238,1991,16,16,"1,440",16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Victor Boniface,ng NGA,FW,Leverkusen,23-003,2000,16,15,"1,276",14.2,10,7,17,9,1,1,2,0,12.1,11.3,3.6,14.9,43,29,131,0.71,0.49,1.20,0.63,1.13,0.85,0.25,1.10,0.79,1.05,Matches
Leonardo Bonucci,it ITA,DF,Union Berlin,36-239,1987,7,6,460,5.1,1,0,1,0,1,1,0,0,0.8,0.0,0.3,0.3,0,21,1,0.20,0.00,0.20,0.00,0.00,0.15,0.06,0.22,0.00,0.06,Matches
Yvandro Borges Sanches,lu LUX,"MF,FW",M'Gladbach,19-216,2004,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24-279,1999,9,6,487,5.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,14,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Rafael Borré,co COL,FW,Werder Bremen,28-102,1995,13,10,832,9.2,4,0,4,4,0,0,0,0,2.1,2.1,1.7,3.8,15,23,64,0.43,0.00,0.43,0.43,0.43,0.23,0.18,0.42,0.23,0.42,Matches
