player,nationality,position,team,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches
Thomas Kraft,de GER,GK,Hertha BSC,30,1988,3.5,9,2,0,0,0,6.8,0.32,-2.2,-0.62,40,81,49.4,93,7,58.1,38.8,30,90.0,56.1,40,2,5.0,1,0.29,13.3,Matches
Andreas Luthe,de GER,GK,Augsburg,31,1987,14.6,22,0,1,2,1,20.7,0.27,-0.3,-0.02,76,209,36.4,353,56,42.8,36.9,128,45.3,38.1,200,3,1.5,9,0.62,13.7,Matches
Christian Mathenia,de GER,GK,Nürnberg,26,1992,21.5,40,2,1,6,2,31.5,0.25,-6.5,-0.30,170,473,35.9,665,92,47.7,39.0,218,71.6,53.5,462,9,1.9,10,0.47,9.6,Matches
Florian Müller,de GER,GK,Mainz 05,20,1997,24.0,43,3,0,6,0,39.0,0.30,-4.0,-0.17,157,424,37.0,629,105,42.3,37.7,205,77.1,55.1,356,12,3.4,25,1.04,15.0,Matches
Yvon Mvogo,ch SUI,GK,RB Leipzig,24,1994,1.5,2,1,0,0,0,1.8,0.19,-0.2,-0.17,5,10,50.0,25,4,32.0,35.1,6,33.3,35.3,10,0,0.0,2,1.33,14.2,Matches
Manuel Neuer,de GER,GK,Bayern Munich,32,1986,25.6,23,3,0,2,1,19.8,0.31,-2.2,-0.08,92,210,43.8,794,114,23.8,28.8,128,16.4,31.3,188,10,5.3,44,1.72,20.6,Matches
Alexander Nübel,de GER,GK,Schalke 04,21,1996,17.6,29,3,0,0,0,29.9,0.32,+0.9,+0.05,113,274,41.2,385,56,43.9,36.7,134,78.4,53.3,229,11,4.8,11,0.62,13.6,Matches
Ramazan Özcan,at AUT,GK,Leverkusen,34,1984,2.0,5,1,0,1,1,4.9,0.24,+0.9,+0.43,12,38,31.6,54,7,53.7,40.5,14,64.3,47.8,23,1,4.3,2,1.00,10.9,Matches
Jiří Pavlenka,cz CZE,GK,Werder Bremen,26,1992,33.1,47,3,2,5,0,47.1,0.30,+0.1,0.00,211,495,42.6,925,160,36.4,34.8,304,52.0,43.1,494,13,2.6,25,0.76,13.4,Matches
Pavao Pervan,at AUT,GK,Wolfsburg,30,1987,8.5,11,0,0,0,0,11.9,0.30,+0.9,+0.10,67,140,47.9,270,38,34.4,34.0,75,62.7,48.9,132,3,2.3,2,0.24,10.9,Matches
Luca Plogmann,de GER,GK,Werder Bremen,18,2000,0.4,1,1,0,0,0,1.0,0.00,0.0,-0.05,2,2,100.0,3,2,0.0,14.3,3,66.7,45.7,8,0,0.0,0,0.00,,Matches
Michael Rensing,de GER,GK,Düsseldorf,34,1984,32.0,62,7,1,7,0,54.3,0.30,-7.7,-0.24,223,563,39.6,688,147,43.2,36.7,318,83.6,54.9,537,27,5.0,3,0.09,9.2,Matches
Frederik Rønnow,dk DEN,GK,Eint Frankfurt,25,1992,1.4,0,0,0,0,0,0.7,0.10,+0.7,+0.52,20,40,50.0,42,3,66.7,44.6,13,92.3,59.9,16,1,6.3,0,0.00,9.0,Matches
Samuel Şahin-Radlinger,at AUT,GK,Hannover 96,25,1992,1.0,2,0,0,0,0,1.3,0.36,-0.7,-0.66,9,15,60.0,18,3,44.4,38.3,8,87.5,58.0,8,1,12.5,4,4.00,20.7,Matches
Alexander Schwolow,de GER,GK,Freiburg,26,1992,33.0,60,7,0,11,0,57.2,0.31,-2.8,-0.09,258,636,40.6,940,142,39.8,36.7,330,79.4,59.4,545,13,2.4,29,0.88,14.8,Matches
Yann Sommer,ch SUI,GK,M'Gladbach,29,1988,34.0,42,3,0,3,0,48.2,0.30,+6.2,+0.18,174,465,37.4,1338,190,26.3,30.5,264,42.8,40.0,458,26,5.7,33,0.97,13.8,Matches
Kevin Trapp,de GER,GK,Eint Frankfurt,28,1990,32.6,48,1,1,5,1,43.4,0.28,-3.6,-0.11,330,705,46.8,982,104,53.1,38.3,222,82.9,56.6,441,19,4.3,37,1.13,15.4,Matches
Philipp Tschauner,de GER,GK,Hannover 96,32,1985,1.0,3,1,0,0,0,3.0,0.33,0.0,-0.04,2,9,22.2,21,3,33.3,32.0,7,28.6,29.3,10,1,10.0,0,0.00,3.0,Matches
Sven Ulreich,de GER,GK,Bayern Munich,29,1988,8.4,9,2,1,1,0,9.9,0.35,+0.9,+0.11,18,51,35.3,218,56,20.6,26.6,37,16.2,29.5,61,0,0.0,8,0.95,17.5,Matches
Robin Zentner,de GER,GK,Mainz 05,23,1994,10.0,14,0,1,2,0,12.8,0.26,-1.2,-0.12,46,172,26.7,252,55,40.1,36.1,88,80.7,60.4,166,10,6.0,12,1.20,14.5,Matches
Ron-Robert Zieler,de GER,GK,Stuttgart,29,1989,34.0,70,2,2,7,4,56.4,0.31,-9.6,-0.28,259,714,36.3,911,129,55.4,40.3,305,68.5,52.7,518,22,4.2,41,1.21,14.7,Matches
