,ID,Name,Team,Position,Marktwert,Trend,Bild,Status,Punkteschnitt,Punktetotal,UserID,TeamID,TeamCover
49,2065,Felix Uduokhai,Augsburg,2,6280353.0,2,https://kickbase.b-cdn.net/pool/playersbig/2065.png,0,67,1003,None,13,https://kickbase.b-cdn.net/team/2013/07/30/c7c9b0bd44694939a43e5bd3fb3c6364.jpg
50,2378,Lucas Silva Melo,Frankfurt,2,18055014.0,1,https://kickbase.b-cdn.net/pool/playersbig/2378.png,0,93,1400,None,4,https://kickbase.b-cdn.net/team/2013/07/30/80fe7ac3b0f643e2af669f6f77f4a5a6.jpg
51,383,Sven Ulreich,Bayern,1,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/383.png,0,75,598,2627255,2,https://kickbase.b-cdn.net/team/2013/07/30/3ebe44c53c3f4c87bd605da69e743fb8.jpg
52,3559,Laurin Ulrich,Stuttgart,3,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/3559.png,0,0,0,None,9,https://kickbase.b-cdn.net/team/2013/07/30/eea01bf0ab1145059d44f2585b352081.jpg
53,7158,Deniz Undav,Stuttgart,4,26495435.0,1,https://kickbase.b-cdn.net/pool/playersbig/7158.png,0,145,1879,2566773,9,https://kickbase.b-cdn.net/team/2013/07/30/eea01bf0ab1145059d44f2585b352081.jpg
54,1991,Dayotchanculle Upamecano,Bayern,2,28116278.0,1,https://kickbase.b-cdn.net/pool/playersbig/1991.png,0,120,1558,88352,2,https://kickbase.b-cdn.net/team/2013/07/30/3ebe44c53c3f4c87bd605da69e743fb8.jpg
55,36,Benjamin Uphoff,Freiburg,1,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/36.png,0,0,0,None,5,https://kickbase.b-cdn.net/team/2013/07/30/087b1e89dc5d440681b4467e659ffb06.jpg
56,7425,Donny van de Beek,Frankfurt,3,15680298.0,1,https://kickbase.b-cdn.net/pool/teamsdummies/4.png,0,0,0,2222233,4,https://kickbase.b-cdn.net/team/2013/07/30/80fe7ac3b0f643e2af669f6f77f4a5a6.jpg
57,4418,Sepp van den Berg,Mainz 05,2,11150084.0,1,https://kickbase.b-cdn.net/pool/playersbig/4418.png,0,70,1047,2631100,18,https://kickbase.b-cdn.net/team/2013/07/30/7ddbe10cc9ba45d0902ab5fedfa3e817.jpg
58,1725,Mark Uth,Köln,3,887288.0,2,https://kickbase.b-cdn.net/pool/playersbig/1725.png,1,6,42,None,28,None
